nome
David Michael Wieger
Larry Clemmons
Stuart Gillard
Scott Hale
J. Robert Wagoner
Edward Anhalt
Gregory Widen
Edward Burns
Neten Chokling
Michael France
Ken Scarborough
Al Ramrus
Jack B. Bernstein
Andrew Bergman
Kathryn Bigelow
David Griffiths
Andrew Knight
Joe Batteer
Noboru Iguchi
Grant Morris
Eric Garcia
Marcus Dunstan
John Orloff
Simon Beaufoy
Vidhu Vinod Chopra
David L.G. Hughes
Akshat Verma
H.B. Halicki
Jo Jo Henrickson
Michael Relph
David Leslie Johnson-McGoldrick
Jette Rinck
Willard Huyck
Ken Friedman
William H. Morrow
Tom Donnelly
Phil Hay
"Bragi Schut, Jr"
Ted Elliott
Timur Bekmambetov
Darlene Craviotto
Jim Abrahams
Dimitri Logothetis
Joe Carnahan
Joe Gayton
Joe Cornish
Mark Bomback
Tom Mankiewicz
Kim Fuller
Jules Furthman
Charles Dickens
Katrin Benedikt
Stephen J. Rivele
Phil Alden Robinson
Peter Craig
Dean Georgaris
Seth Grahame-Smith
Bayard Johnson
Caroline Thompson
Ronny Yu
Pegi Vail
Ib Melchior
Craig Fernandez
John Sayles
John Twist
Robert King
B.D. Clark
Rudy De Luca
Neil Cuthbert
John Byrum
Dalton Trumbo
Menahem Golan
Martin Brest
Charles Edward Pogue
Michael Henry Brown
Jason Yee
William Brookfield
S. Craig Zahler
Edward Zwick
Peter Barsocchini
Roland Kibbee
Domonic Paris
David Henry Hwang
Howard Browne
Noel Marshall
Allan Heinberg
John Rogers
Mike Hodges
Lawrence Wright
Philip Shelby
Guy Moshe
Fred Dekker
Mark Feldberg
Charles Leavitt
Gareth Evans
Mike Pavone
Nic Pizzolatto
Elmore Leonard
Claudia Grazioso
Otto Klement
Geoffrey Panos
Clint Johnson
Tom Barry
Jean-Paul Rappeneau
Brent V. Friedman
Charles Eastman
Siddique
Preston Lacy
Stephen Cyrus Sepher
Dirk Blackman
Jeffrey Caine
Andrew J. Smith
Carolyn Keene
Roy Huggins
Frank Deese
Edward Tang
Robin Bhatt
Andre Morgan
Robert Pirosh
Robert Payne Cabeen
Karen Janszen
York Alec Shackleton
Richard Stanley
William C. Anderson
Terry Hayes
Billy Wilder
John Morton
William Norton
Tracy Keenan Wynn
George Nolfi
Robert Towne
George Gallo
James Coyne
Aeneas MacKenzie
Larry Cohen
Terrence Malick
Robert Benton
Brian Taylor
Mark Rosenthal
Michael Ferris
Chihiro Ito
Eric Bress
Donald Ogden Stewart
Alan Jay Lerner
Steven Gomez
Kirk De Micco
H. G. Wells
Lawrence Kasdan
Christopher Kyle
Daniela Thomas
Frank Fenton
Larry Fessenden
Jing Wu
David Duncan
Robert Knott
Blake Evans
John Thomas
Jackson Stewart
Joshua Oppenheimer
Benjamin Rocher
Francis Ford
Daniel B. Ullman
Michael Fallon
Philip Dunne
Dean Riesner
Gregory J. Brooker
Ken Nolan
Roman Polanski
Fraser C. Heston
Roderick Taylor
Robert Riskin
Alvin Sargent
Oliver Stone
Bill Bryden
John Toles-Bey
Leanne Pooley
Charles Martin Smith
Jay Presson Allen
Scott Adkins
Mark Millar
Paul Greengrass
Michael D. Weiss
Janet Scott Batchelor
Ian Fleming (II)
Stphane Aubier
James R. Webb
John Posey
John Huston
Vincent Kok
Geoffrey S. Fletcher
Ruth Rose
Paul Dini
Stephen Sommers
Heywood Gould
Sebastian Gutierrez
Tom Laughlin
Patrick Hasburgh
Martin Rosen
Al Reinert
Uwe Boll
Boyd Kirkland
Duane Capizzi
Jason Friedberg
Caryn Lucas
Ti West
Matthew Aldrich
Robert Clouse
Koan Hui
Glenn Standring
Dan Aykroyd
Sam Levinson
Hugo Butler
Michael Crichton
Bob Peterson
R.C. Sherriff
Terry Rossio
C. Courtney Joyner
Robert Kaufman
Kurt Johnstad
Hans Bauer
Etan Cohen
Eric Ambler
John J. Richardson
Joby Harold
Frank S. Nugent
Keith Reddin
Ivan Moffat
Dominique Monfery
Michael Rae
Nicolas van Pallandt
Ralph Ziman
Lana Wachowski
David Ambrose
Eric Johnson
John Eskow
Andrea Berloff
Thanakorn Pongsuwan
Alexandre de la Patellire
