attore,film,anno
Ian Hendry,Theater of Blood (Theatre of Blood) (Much Ado About Murder),1973
Joe Egender,Holy Ghost People,2014
Danielle Safady,Escape From Tomorrow,2013
Vicki Schreck,Freaky Friday,1976
Richard Harrison,Harold's Going Stiff,2013
Joel Grey,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976
Hill Harper,Hav Plenty,1998
William Dick,The Company,2003
Jafar Panahi,Jafar Panahi's Taxi,2015
Marion Cotillard,Contagion,2011
Eric Idle,Monty Python's Life of Brian,1979
Rupert Grint,Driving Lessons,2006
Vincent Rottiers,Renoir,2013
Jody Thompson,Alien Trespass,2009
Diedrich Bader,Sassy Pants,2012
Dennis Hopper,River's Edge,1987
Lindsay Jones,Marfa Girl,2015
Bruce Cabot,The War Wagon,1967
Boyd Holbrook,Morgan,2016
Charlize Theron,Sleepwalking,2008
Johnathon Schaech,Reprisal,2018
Ricki Lake,Gemini,2018
Paul Bettany,Margin Call,2011
Wang Xueqin,Iron Man 3,2013
Hikari Mitsushima,Mary and The Witch's Flower,2018
David Conrad,Snow White: A Tale of Terror,1997
Casey Affleck,Committed,2000
Andrew Cherry,The Rebound,2009
Jenna Elfman,Looney Tunes: Back in Action,2003
Kara Hoffman,Lemony Snicket's A Series of Unfortunate Events,2004
Peter Weller,Screamers,1996
Martin Short,Frankenweenie,2012
Roscoe Karns,It Happened One Night,1934
Rebecca Romijn,Femme Fatale,2002
Henry Czerny,Conversations With God,2006
Bow Wow,Roll Bounce,2005
Kevin Connolly,Reach Me,2014
Vera Farmiga,Goats,2012
Andy Garcia,Dead Again,1991
Michele Carey,El Dorado,1967
Ryan Phillippe,Antitrust,2001
Robert Patrick,Fire in the Sky,1993
Solbjrg Hjfeldt,Brothers,2004
Gerard Horan,In the Bleak Midwinter (A Midwinter's Tale),1996
Grigori Aleksandrov,Strike (Stachka),1925
Suzy Parker,The Best of Everything,1959
Liam Mulvey,Kingsglaive: Final Fantasy XV,2016
Jeanne Tripplehorn,Grey Gardens,2009
Shigeo Kobayashi,The Flowers of War,2011
Charlie Parker,The Imposter,2012
Julie Benz,Punisher: War Zone,2008
Chris Herren,The Anonymous People,2014
Natalie Portman,A Tale of Love and Darkness,2016
Melissa Altro,Pippi Longstocking,1997
Jim Brown,Original Gangstas,1996
Jeremy Crutchley,The Mangler,1994
Billie Neal,Mortal Thoughts,1991
Frank Sinatra,Some Came Running,1959
Courtney Gains,Children of the Corn,1984
William Ruane,The Angels' Share,2013
David Wenham,Australia,2008
John Boswall,The Statement,2003
Nicki SooHoo,Stick It,2006
Ernest Trosman,Jailbait,2004
Rebecca Da Costa,The Bag Man,2014
Matt Keeslar,Mr. Magoo,1997
Matt Dillon,Herbie: Fully Loaded,2005
David Ogden Stiers,Jungle 2 Jungle,1997
Youssou N'Dour,Youssou Ndour: I Bring What I Love,2009
Jeannine Mestre,The Living Dead at Manchester Morgue,1974
Patrick Stewart,Jimmy Neutron - Boy Genius,2001
Ossie Davis,Baadasssss!,2003
Michael Wright,Streamers,1983
Marcus Gilbert,Army of Darkness,1993
Emily Woof,Velvet Goldmine,1998
Will Ferrell,Step Brothers,2008
Mady Berry,Le Jour se lve (Daybreak),1939
Dennis Kucinich,The Garden,2008
Dave Barthmuss,Who Killed the Electric Car?,2006
Peta Wilson,The League of Extraordinary Gentlemen,2003
Danny Nucci,Friends & Lovers,1999
Hanyu Zhang,Operation Mekong,2016
Richard Basehart,Decision Before Dawn,1951
Dick Boland,Diane,2018
Anthony Hopkins,Slipstream,2007
Tuesday Weld,Once Upon a Time in America,1984
Sheila Tousey,Silent Tongue,1994
Tracy Nelson,Down and Out in Beverly Hills,1986
Dermot Mulroney,Kansas City,1996
Ben Chaplin,Me and Orson Welles,2009
Zooey Deschanel,500 Days of Summer,2009
Wallace Shawn,The Windmill Movie,2009
Matthew Horne,Lesbian Vampire Killers,2009
Gary Oldman,Lost in Space,1998
Ming-Na Wen,Final Fantasy: The Spirits Within,2001
Donald O'Connor,Singin' in the Rain,1952
Peter Berg,Late for Dinner,1991
Natalia Avelon,Eight Miles High!,2008
Mojtaba Mirtahmasb,This Is Not a Film,2012
Bouba Sakou,You Don't Need Feet to Dance,2013
Tom Sizemore,Strange Days,1995
Anthony Wong,Infernal Affairs (Mou gaan dou),2002
Owen Teague,Every Day,2018
Trevor Howard,Mutiny on the Bounty,1962
Branka Katic,"Crna macka, beli macor (Black Cat, White Cat)",1999
Ethan Hawke,Ten Thousand Saints,2015
Tracy Wright,Trigger,2011
Gottfried Helnwein,Gottfried Helnwein and the Dreaming Child,2012
Morgana Davies,The Hunter,2012
Michael Praed,9 Dead Gay Guys,2002
Dr. Yaakov Meir Weil,Trembling Before G-d,2001
Haley Bennett,A Kind of Murder,2016
Timothy Olyphant,Live Free or Die Hard,2007
Frank Oz,The Muppets Take Manhattan,1984
Keith David,Dirty,2006
Emily McKenna Cox,Rammbock: Berlin Undead,2011
Robert Scheer,Gore Vidal: The United States Of Amnesia,2014
Tony Todd,Changing the Game,2012
Lene Maria Christensen,Terribly Happy (Frygtelig lykkelig),2010
Gene Tierney,Where the Sidewalk Ends,1950
Cary Grant,The Pride and the Passion,1957
Clint Eastwood,The Rookie,1990
Blanca Portillo,Goya's Ghosts,2007
Ben Kingsley,The Wackness,2008
Eleonore Hendricks,Boulevard,2015
Noomi Rapace,The Girl Who Kicked the Hornet's Nest,2010
Jeff Weatherford,Money Buys Happiness,1999
Decadence,Live Nude Girls Unite!,2000
Laurie Main,Time After Time,1979
Bob Dylan,The Other Side of the Mirror - Bob Dylan Newport 1963-1965,2007
Barbara Steele,Piranha,1978
William Forsythe,The L.A. Riot Spectacular,2005
Steve Allen,Eat That Question: Frank Zappa in His Own Words,2016
Charlie Korsmo,Dick Tracy,1990
Marcia Gay Harden,American Dreamz,2006
Barbara Pepper,"Kiss Me, Stupid",1964
Bruce Solomon,Night of the Creeps,1986
Milly Monti,Black Sabbath (I Tre volti della paura) (The Three Faces of Fear) (The Three Faces of Terror),1963
Doug Hutchison,The Salton Sea,2002
Jeffrey Dean Morgan,Kabluey,2007
Bonnie Hunt,Cars 3,2017
Jennifer Bishop-Jenkins,A Girl And A Gun,2013
Parker Posey,The Sweetest Thing,2002
Gabriele Lavia,Inferno,1980
Michel Duchaussoy,The Widow of Saint-Pierre (The Widow of St. Pierre) (La veuve de Saint-Pierre),2000
Aron J. Hijar,Restrepo,2010
Chris Hemsworth,Avengers: Infinity War,2018
Naturi Naughton,Notorious,2009
Steve Cardenas,Turbo: A Power Rangers Movie,1997
Muhammed Ali,Zero Bridge,2011
Jack Black,The Cable Guy,1996
Michael P. Murphy,Murph: The Protector,2013
Gene Hackman,The Birdcage,1996
Julie Warner,Mr. Saturday Night,1992
D.B. Sweeney,Brother Bear,2003
Seth Rogen,The Interview,2014
Adam Rodriguez,Take,2008
Jenni Muldaur,"Ride, Rise, Roar",2010
Yang Lin,Daughter of the Nile (Ni luo he nu er),1987
Barbara Hershey,A Dangerous Woman,1993
Jamie McShane,Look,2007
Joseph Gordon-Levitt,10 Things I Hate About You,1999
Corey Feldman,"Friday the 13th, Part V - A New Beginning",1985
Chris Klein,Street Fighter: The Legend of Chun-Li,2009
Salman Khan,Saawariya,2007
Ashley Grace,Snake & Mongoo$e,2013
Jason Robards,A Boy and His Dog,1975
Brandon McGibbon,Splice,2010
Pamela Susan Shoop,Halloween II,1981
Nell Williams,London Town,2016
Scott Hornoff,After Innocence,2005
Raymond Massey,Possessed,1947
D.J. Flava,Another Earth,2011
Charlie Cox,The Theory of Everything,2014
Rami Malek,Short Term 12,2013
Andrew Knott,My Cousin Rachel,2017
Joseph Fiennes,William Shakespeare's The Merchant of Venice,2004
Zlatko Burik,Pusher II: With Blood On My Hands,2004
Fairuza Balk,Valmont,1989
Jamal Woolard,All Eyez on Me,2017
Nick Frangione,"Fanny, Annie & Danny",2011
Clifton Collins Jr.,Tigerland,2000
William Sanderson,Black Moon Rising,1986
Mony Rey,Not Without My Daughter,1991
Chase Ellison,That's What I Am,2011
Fred Astaire,Silk Stockings,1957
Jarkko Niemi,Let My People Go!,2013
Choi Min-sik,New World,2013
David Rasche,Twenty Bucks,1993
Jeffrey Tambor,Tangled,2010
Khim Kumari Gayek,Manakamana,2014
Paul Dano,There Will Be Blood,2007
Ricky Carmichael,X Games 3D: The Movie,2009
Pete Davidson,Set It Up,2018
Janeane Garofalo,The Adventures of Rocky & Bullwinkle,2000
Aubrey Plaza,About Alex,2014
Lili Sepe,It Follows,2015
Nora Heflin,Fantastic Planet,1973
Katy Jurado,High Noon,1952
Martina Codecasa,Terraferma,2013
Ray Park,Ballistic: Ecks vs. Sever,2002
Teddy Robin Kwan,Twin Dragons (Shuang long hui) (Brother vs. Brother),1992
Ice Cube,Anaconda,1997
Petter Width Kristiansen,"Oslo, August 31st",2012
Jennifer Hudson,Sandy Wexler,2017
Michael Philpot,Children of Love,2003
Harris Yulin,The Treatment,2006
Frances Conroy,Humboldt County,2008
Thomas Mitchell,Lost Horizon,1937
Amanda Detmer,Big Fat Liar,2002
Marley Shelton,Sugar & Spice,2001
Shirley Knight,Paul Blart: Mall Cop 2,2015
Siobhan Keegan,Going in Style,1979
Cecilia Camacho,The Golden Dream (La Jaula De Oro),2015
Robert Pattinson,Twilight,2008
James Caan,Slither,1973
J.K. Simmons,Jobs,2013
Les D'Arcy,Ping Pong,2012
Julie Andrews,Torn Curtain,1966
Chelsea Field,Harley Davidson and the Marlboro Man,1991
Itsuji Itao,Tky Zankoku Keisatsu (Tokyo Gore Police),2008
Walter Pidgeon,Man Hunt,1941
Sebastian Gregory,Acolytes,2011
M. Emmet Walsh,Christmas in the Clouds,2005
Uma Thurman,Mad Dog and Glory,1993
Najarra Townsend,Contracted,2013
John Boyega,Imperial Dreams,2014
