movie,movie_studio
Simon Sez,Sony Pictures Home Entertainment
Inferno,Sony Pictures
Fifty Dead Men Walking,Phase 4 Films
"I, Robot",20th Century Fox
Shrek the Third,Dreamworks
Persons Unknown,Promark Entertainment
Gone in 60 Seconds (Gone in Sixty Seconds),Buena Vista Pictures
Batman and Harley Quinn,DC Entertainment
The Tower,CJ Entertainment America
Flaming Star,Twentieth Century Fox
The Boy And The Beast (Bakemono No Ko),FUNimation Entertainment
Lemony Snicket's A Series of Unfortunate Events,Paramount Pictures
Passage to Mars,Jules Verne Adventures
Ready Player One,Warner Bros. Pictures
Mogambo,MGM
The Salton Sea,Warner Bros.
Mata Hari,MGM Home Entertainment
Death Race 2000,New World Pictures
All Hat,Odeon Films
Vampires: Los Muertos,Storm King Productions
Masterminds,Sony Pictures Home Entertainment
The Beach,20th Century Fox
Welcome to Dongmakgol,Asian Crush
Blood and Chocolate,MGM
Spy Kids: All the Time in the World in 4D,Weinstein Company
Jack Brooks: Monster Slayer,Anchor Bay Entertainment
The Mysterious Lady,MGM
Robin Hood: Prince of Thieves,Warner Bros. Pictures
Haywire,Relativity Media
The 13th Warrior,Buena Vista Pictures
The Gracefield Incident,Momentum Pictures
The Pirates Who Don't Do Anything: A VeggieTales Movie,Universal Pictures
Bullet,SC Films International
Independence Day,20th Century Fox
Jungle Book,Gravitas
Superman,Warner Bros. Pictures
The 9th Company (9 rota),Contender Entertainment Group
Legion,Screen Gems
Marvel's The Avengers,Walt Disney Pictures
Shanghai Surprise,Vestron Video
Vertical Limit,Columbia Pictures
Overdrive,Paramount Pictures
Kansas,Media Home Entertainment
Motorama,Sony Pictures Home Entertainment
Russell Mulcahy's Tale of the Mummy,Miramax
Yojimbo,Criterion Collection
Wanted: Dead or Alive,Anchor Bay Entertainment
Next of Kin,Warner Home Video
Alive,Buena Vista
Betrayed,MGM Home Entertainment
The Eagle Has Landed,Columbia Pictures
Shaft in Africa,WARNER BROTHERS PICTURES
Cloverfield,Paramount
Immortals,Relativity Media
Impulse,Warner Home Video
The Toxic Avenger: Part II,Lorimar Productions
The Hallow (The Woods),Occupant Entertainment
The Hunter's Prayer,Apollo Media
Reptilicus,American International Pictures
Collateral Damage,Warner Bros. Pictures
Homefront,Open Road Films
Alaska,Sony Pictures Home Entertainment
The Shaggy Dog,Buena Vista
Young Ones,Screen Media Ventures
Posse,Paramount Pictures
The Wraith,Lionsgate
Star Trek: Insurrection,Paramount Pictures
Black Knight,20th Century Fox
The Tailor of Panama,Columbia Pictures
Skyfall,MGM
On Dangerous Ground,WARNER BROTHERS PICTURES
Seve the Movie,Level 33 Entertainment
Rivers and Tides: Andy Goldsworthy Working With Time,New Video
RUMBLE: The Indians Who Rocked the World,Rezolution Pictures
Augustine,Music Box Films
Merci Docteur Rey,Regent Releasing
Rapt,Lorber Films
Arven (The Inheritance),Egmont
The Trotsky,Park Ex
The Reptile,Hammer Films
Broken Embraces,Sony Pictures Classics
Kes,Image Entertainment
Etz Limon (Lemon Tree),IFC
Dream Home,EDKO Film
Lessons of Darkness,Canal+
The Jewish Cardinal,Film Movement
This Is Not a Film,Palisades Tartan
After Love (L'conomie du couple),Distrib Films US
The Horror of Frankenstein,MGM
Come Undone,Picture This! Entertainment
Macbeth,The Weinstein Company
The Four Times (Le Quattro Volte),Lorber Films
Delicatessen,Lionsgate
The Flat,IFC Films
Man of the West,United Artists
"If I Want To Whistle, I Whistle",Film Movement
Vampyros Lesbos (Lesbian Vampires: The Heiress of Dracula),Floralva Exclusivas
Morlang,Film Movement
"Faces Places (Visages, villages)",Cohen Media Group
Just Like A Woman,Cohen Media Group
Baskin,Film Colony
[REC] 3 Genesis,Magnet Releasing
Tokyo Story (Tky monogatari),BFI Production
Live Forever (Live Forever: The Rise and Fall of Brit Pop),First Look Pictures
Steal This Movie,LionsGate Entertainment
Early Summer,Criterion Collection
Reality,Oscilloscope Laboratories
Howards End,Sony Pictures Home Entertainment
Tombs Of The Blind Dead (Noche del terror ciego),Hallmark Releasing Corp.
Mr. Nobody,Magnolia Pictures
The Celebration (Festen),October Films
Fando y Lis (Fando and Lis),Cannon Film Distributors
Fat City,Sony Pictures Entertainment
Red Riding: 1980,IFC Films
Tango,Sony Pictures Classics
Unmistaken Child,Ocilloscope Pictures
Age of Heroes,Metrodome Group
La Grande illusion (Grand Illusion),Rialto Pictures
Harmonium (Fuchi ni tatsu),Nagoya Broadcasting Network
Antichrist,IFC Films
The Rage in Placid Lake,Film Movement
The Best Intentions,Park Circus
Muriel ou Le Temps d'un Retour (The Time of Return),Lopert Pictures Corporation
Snow Flower And The Secret Fan,Fox Searchlight
Western,Cinema Guild
The King Is Alive,IFC Films
Mark of the Devil,Cheezy Flicks Entertainment
Indochine,Sony Pictures Home Entertainment
Britannia Hospital,LionsGate Entertainment
Viola,Cinema Guild
Dogtooth (Kynodontas),Kino International
Time Regained,Kino International
Andy Warhol's Frankenstein,Compagnia Cinematografica Champion
City of Women (La citt delle donne),Gaumont
Everybody's Famous!,Miramax Films
The Arbor,Strand Releasing
Ugetsu (Ugetsu monogatari),Edward Harrison
Antonio Gaud,Kino International Corp.
Bananas,MGM Home Entertainment
White Wedding,Little Film Company/Dada Films
Walking on Sunshine,eOne Entertainment
Aberdeen,First Run Features
Stormy Monday,British Screen Productions
La fe (The Fairy),Kino Lorber
Zero Bridge,The Film Desk
Spiderhole,IFC Midnight
Dark Water,Toho Company Ltd
White God,Magnolia Pictures
Le Silence de la Mer,Criterion Collection
Anonymous,Sony Pictures
Beneath Hill 60,Paramount Studios
Gooby,Monterey Media
Born Romantic,MGM
Ellie Parker,Strand Releasing
The Windmill (The Windmill Massacre),Pellicola Films
Chan Is Missing,New Yorker Films
Acts of Worship,Hart Sharp Video
My Worst Nightmare,Strand Releasing
A Fantastic Woman (Una mujer fantstica),Sony Pictures Classics
Now Is Good,Sony Pictures
Mifune's Last Song (Mifune) (Mifunes sidste sang),Sony Pictures Classics
Modigliani,Innovation Film Group
Priceless,Samuel Goldwyn Films
Late Marriage,Magnolia
Demon,Telewizja Polska
[Rec],Odeon Sky Filmworks
Julieta,El Deseo
How I Ended This Summer,Film Movement
Avaze gonjeshk-ha (The Song of Sparrows),Regent Releasing
The Time That Remains,IFC Films
7 Days (Les 7 jours du talion),Sundance Selects
Intacto,Lions Gate Films
Lord of the Flies,Criterion Collection
Central Station (Central do Brasil),Sony Classics
Sarah's Key,The Weinstein Company
Chakde! India,Yash Raj Films
Aria,Academy Entertainment
Renoir,Samuel Goldwyn Films
Wild Side,Wellspring
Sione's Wedding (Samoan Wedding),Magnolia Pictures
Leap Year (Ao bisiesto),Strand Releasing
Pranzo di Ferragosto (Mid-August Lunch),Zeitgeist Films
Google Me,FilmBuff
Sebastiane,Libra Films International
Lorna's Silence,Sony Pictures Classics
Mean Machine,Paramount Classics
Tortoise In Love,Immense Productions
Stranger Than Paradise,Criterion Collection
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Criterion Collection
The Apprenticeship of Duddy Kravitz,Astral Films
Kill the Poor,Mr. Mudd
The Gleaners and I,Zeitgeist Films
Head On,Strand Releasing
Killing for Love (Das Versprechen),IFC Films
Giorni e Nuvole (Days and Clouds),Film Movement
Red Christmas,Artsploitation Films
The Dying Gaul,Strand Releasing
Dovlatov,Netflix
Teachers,Twentieth Century Fox Home Entertainment
A Simple Curve,Film Movement
On Body and Soul (A Testrl s Llekrl),Netflix
The American Soldier (Der amerikanische Soldat),Criterion Collection
Schultze Gets the Blues,Paramount Classics
Entre nos (Between Us),Indiepix
Aleksandr Nevskiy (Alexander Nevsky),Amkino
The Incredibly True Adventure of Two Girls in Love,WARNER BROTHERS PICTURES
Brothers,IFC Films
No Man's Land,United Artists Pictures
Women on the Verge of a Nervous Breakdown (Mujeres al Borde de un Ataque de Nervios),Orion Classics
Lakeboat,Oregon Trail Films
Juan of the Dead,Outsider Pictures
The Autopsy of Jane Doe,IFC Films
Sleep Dealer,Maya Releasing
Gomorrah (Gomorra),IFC Films
Les Plages d'Agns (The Beaches of Agnes),Cinema Guild
Heal the Living (Rparer les vivants),Cohen Media Group
"What's New, Pussycat?",United Artists
Audition (dishon),American Cinemateque
Malena,Miramax
Dancing at Lughnasa,Sony Pictures Classics
The Similars (Los Parecidos),Caminante Films
Oligarkh (Tycoon) (Tycoon: A New Russian),New Yorker Films
Red Road,Tartan USA
The Dead,Vestron UK Ltd.
Park,Mello Pictures
L' Ora di Religione (Il Sorriso di Mia Madre) (The Religion Hour) (My Mother's Smile),New Yorker Films
Kadosh,Kino International
In Between Days,Kino International
Rundskop (Bullhead),Drafthouse Films
Cold Sweat (Sudor fro),Pampa Films
Oasis,Lifesize Entertainment
Hermia & Helena,Trapecio Cine
The Wedding Banquet (Xi yan),Good Machine
Le amiche,Titanus Produzione
Fados,New Yorker Films
Trafic (Traffic),Columbia Pictures
Angel Rodriguez,Journeyman Pictures
She Gets What She Wants,LionsGate Entertainment
Almost Peaceful,Empire Pictures
American Splendor,Fine Line Features
California Dreamin' (Nesfarsit) (Endless),Artificial Eye
Golden Door (Nuovomondo),Miramax Films
The Beautiful Person (La Belle Personne),IFC Films
Clay Pigeons,Gramercy Pictures
Me and You and Everyone We Know,IFC Films
Three Colors: Blue (Trois Couleurs: Bleu),Miramax Films
Fish Tank,IFC
Eat That Question: Frank Zappa in His Own Words,Les Films du Poisson
Sweetie,Avenue Pictures Productions
The Search,MGM
The Children of Huang Shi,Sony Pictures Classics
The Phantom Carriage,Criterion Collection
Tyrannosaur,Strand Releasing
The Servant,Rialto Pictures
Kolya,Miramax
Local Hero,Warner Home Video
Atlantic City,Paramount Home Video
The Killing Fields,Warner Home Video
I Give It a Year,Magnolia Pictures
Buffalo '66,Lions Gate
George Washington,Code Red
Proteus: A Nineteenth Century Vision,Strand Releasing
La demoiselle d'honneur (The Bridesmaid),First Run
The Italian,Sony Pictures Classics
Rocco and His Brothers (Rocco e i suoi fratelli),Titanus Produzione
The Strange Color of Your Body's Tears,Strand Releasing
Wuthering Heights,Media Home Entertainment
The Name of the Rose (Der Name der Rose),Nelson Entertainment
I Am Chris Farley,Virgil Films
The Wages of Fear,Janus Films
4 (Chetyre),Leisure Time
Starting Out in the Evening,Roadside Attractions
Special Treatment,First Run Features
In the Name of My Daughter,Cohen Media Group
Secret Things,First Run Features
Contraband,Kino on Video
Un Padre No Tan Padre,Panorama Global
Stitches,MPI Media Group/Dark Sky Films
Kicking and Screaming,Trimark
The Education of Charlie Banks,Anchor Bay
Margot at the Wedding,Paramount Vantage
The Forest for the Trees (Der Wald vor lauter Baumen),Komplizen Film GbR
Killing Me Softly,MGM
Paheli,Red Chillies Entertainment
The Man from Snowy River,20th Century Fox Film Corporat
Beyond the Ocean,Cinedigm
About Elly,Cinema Guild
Pariah,Indican Pictures
A Tale of Two Sisters,Tartan Films
Patience (After Sebald),Cinema Guild
Umberto D,Nelson Entertainment
Of Love and Shadows,Miramax
"I, Daniel Blake",Sundance Selects
Close-up (Nema-ye Nazdik),Zeitgeist Films
Vacationland,Bangor Films
The Color of Pomegranates (Sayat Nova ),Kino on Video
Ginger e Fred (Ginger and Fred),MGM Home Entertainment
Duck,Right Brained Releasing
The French Lieutenant's Woman,MGM Home Entertainment
The Emperor and the Assassin (Jing Ke ci Qin Wang),Sony Pictures Classics
The Boys and Girl from County Clare,First Look
The Set-Up,RKO Pictures
Mishima: A Life in Four Chapters,Criterion Collection
"Gandhi, My Father",Eros International
Twentynine Palms,Wellspring
Yom Yom,Cinema Factory
Mad Love,Sony Pictures Classics
Touchez Pas au Grisbi (Hands Off the Loot),UMPO
Mother India,Eros Entertainment
Act & Punishment,Cleopatra Entertainment
Good Dick,42 West
"Politist, adj. (Police, Adjective)",IFC Films
A Perfect Day,IFC Films
Wah-Wah,Samuel Goldwyn Films
Unconscious,Regent Releasing
The Commune (Kollektivet),Magnolia Pictures
The Nines,Newmarket
Love,Alchemy
Mysteries of Lisbon,Music Box Films
The Hound of the Baskervilles,United Artists
"He Loves Me, He Loves Me Not",Samuel Goldwyn Company
"Hl i mitt hjrta, Ett (A Hole In My Heart)",Newmarket Films
Il Divo,Music Box Films
Henri Langlois: The Phantom of the Cinematheque,Les Films Elemementaires
Paradise Road,Twentieth Century Fox Home Entertainment
Dead or Alive: Final,Kino International
The Mummy,WARNER BROTHERS PICTURES
Nate & Margaret,Breaking Glass Pictures
The Trip,IFC Films
The Kid with a Bike,IFC Films
Charulata,Amanda Films Ltd
Son of Godzilla,Sony Pictures Home Entertainment
The Knack...And How to Get It,MGM
Bugs!,SK Films
The Wedding Video,Level 33 Entertainment/Millenium Media S
The Legend of Hell House,Fox
Weekend at Bernie's,20th Century Fox
Not Without My Daughter,MGM Home Entertainment
Wild Bill,Cinedigm
Angel-A,Sony Pictures Classics
"Goodbye, Mr. Chips",MGM Home Entertainment
Demonlover,Palm Pictures
Benda Bilili!,National Geographic Entertainment
The Betrayal - Nerakhoon,The Cinema Guild
Gods of the Plague (Gotter der Pest),Criterion Collection
Cronos,Trimark
The Chamber,Cinedigm
Skins,First Look Media
The Ritz,Warner Home Video
The Devil's Backbone (El Espinazo del diablo),Sony Pictures Classics
The Nameless (Los sin nombre),Dimension Films
With a Friend like Harry...,Miramax Films
Come Undone (Cosa voglio di pi),Film Movement
I'm Gonna Git You Sucka,MGM Home Entertainment
Kabhi Alvida Naa Kehna,Yash Raj Films
After Sex,Indie Crush
Our Lady of the Assassins,Paramount Classics
Gilles' Wife (La Femme de Gilles),Mars Distribution
La tigre e la neve (The Tiger and the Snow),Strand Releasing
Schizopolis,Criterion Collection
Angela's Ashes,Paramount Pictures
Killing Ground,IFC Films
Loveless (Nelyubov),Sony Pictures Classics
The Cave of the Yellow Dog (Die Hohle des gelben Hundes),Tartan Films
Tsotsi (Thug),Miramax
Zindagi Na Milegi Dobara,Eros International
Shoeshine (Sciusci),Entertainment One
War Requiem,Movie Visions
Kama Sutra: A Tale of Love,Trimark
Vinyan,Wild Bunch Distribution
Summer Love (Dead Man's Bounty),Barnholtz Entertainment
Our Children,DistriB Films
Sraphine,Music Box Films
The Center of the World,Artisan Entertainment
Pierrot le Fou (Pierrot Goes Wild) (Crazy Pete),Janus Films
Return of the Blind Dead (El Ataque de los muertos sin ojos) (Return of the Evil Dead),Blue Underground
Blame It on the Bellboy,Hollywood Pictures
Stranded,RLJ Entertainment
Power Trip,Films Transit International
The Midwife (Sage femme),Music Box Films
Two Drifters,Strand Releasing
Sex Is Comedy,IFC Films
General della Rovere (Il generale Della Rovere),Zebra Film
Purple Butterfly (Zi hudie),Palm Pictures
Good for Nothing,Screen Media Ventures
Firelight,Miramax Films
Down by Law,Twentieth Century Fox Home Entertainment
Wool 100%,Cinema Epoch
Coco Chanel & Igor Stravinsky,Sony Pictures Classics
Dangerous Liaisons,Well Go Entertainment
Cassandra's Dream,The Weinstein Co.
Hannah Takes the Stairs,IFC First Take
The Governess,Sony Pictures Home Entertainment
Caterina in the Big City,Empire Films
Popil i diament (Ashes and Diamonds),Janus Films
Hwal (The Bow),Tartan Films
Terrore nello spazio (Planet of the Vampires),HBO Video
Adrift,O2 Filmes
Romance & Cigarettes,Boroturro
Alps (Alpeis),Kino Lorber
Monanieba (Repentance),Media Home Entertainment
Cry Freedom,MCA Universal Home Video
Eat Drink Man Woman (Yin shi nan nu),Samuel Goldwyn Films
Children of Love,Vanguard
Secret Sunshine,Cinema Service
Johnny Suede,Miramax Films
Katyn,Artificial Eye
La Historia Oficial (The Official Story),Koch Lorber Films
Post Tenebras Lux,Strand Releasing
The Wind Will Carry Us,New Yorker Films
Chri,Miramax
Every Thing Will Be Fine,Neue Road Movies
Aftershocks (Tangshan dadizhen),China Film Group
Stroszek,New Yorker Films
Day for Night,Warner Bros. Pictures
Two Evil Eyes,Media Home Entertainment
"Lila, Lila",Corinth Films
Fire at Sea (Fuocoammare),21UNO FILM
Whisky,Global Film Initiative
Marion Bridge,ABC Distribution Co.
The Mirror,Mosfilm Studios
Bananas!,WG Film
The Legend of 1900 (La leggenda del pianista sull'oceano),Fine Line Features
Hurricane Streets,MGM Home Entertainment
Post Mortem,Kino Lorber Films
Les Nuits de la pleine lune (Full Moon in Paris),Media Home Entertainment
Westfront 1918,Nero-Film
One Week and a Day (Shavua ve Yom),Black Sheep Film Productions
Confucius,Beijing Dadi Century Limited
Bad Day for the Cut,Well Go USA Entertainment
Reuniting The Rubins,Monterey Media
Guys and Balls,Regent Releasing
Sea Fog (Haemoo),Lewis Pictures
Caesar Must Die,Adopt Films
Loggerheads,Strand Releasing
Cirque Du Soleil: Worlds Away,Paramount Pictures
The Lives of Others,Sony Pictures Classics
In the Fog,Strand Releasing
Gigante,Film Movement
Funny Games,Attitude Films
Aftermath,Freestyle Releasing
Norwegian Wood,Independent Pictures
Paradise Now,Warner Independent Pictures
Your Friends & Neighbors,Gramercy
The Green Butchers,Newmarket Films
Lumumba,Zeitgeist
Man With a Movie Camera,Amkino Corporation
Mothra vs. Godzilla (Mosura tai Gojira),Simitar
Flamenco,Dada Films
Man Bites Dog,Roxie Releasing
Thelma,The Orchard
The Mill and the Cross,Kino Lorber
Strike!,Miramax
Ajami,Kino International
The First Beautiful Thing (La prima cosa bella),Palisades Media/Tartan Films
City of Joy,Sony Pictures Home Entertainment
The Women's Balcony (Ismach Hatani),Menemsha Films
Polisse,IFC Films
The President,Corinth Films
L' Avocat de la Terreur (Terror's Advocate),Magnolia Pictures
The Human Factor,Live Home Video
A Mother's Courage: Talking Back To Autism (Slskinsdrengurinn),First Run Features
Thesis,Andale Pictures
Pauline At The Beach,MGM Home Entertainment
Kaidan (Kwaidan) (Ghost Stories),Criterion Collection
Night and Day (Bam gua nat),IFC Films
Amores Perros,Lions Gate Films
Smithereens,FilmBuff
Partie de Campagne (A Day in the Country),Criterion Collection
The Secret Scripture,Apollo Media
EK MAIN AIR EKK TU,UTV Communications
Voyage of the Damned,AVCO Embassy Pictures
The Umbrellas of Cherbourg (Les Parapluies de Cherbourg),Zeitgeist Films
King of California,First Look Studios
The Big Tease,WARNER BROTHERS PICTURES
Y Tu Mama Tambien,IFC Films
The Girl Who Kicked the Hornet's Nest,Music Box Films
Lake Tahoe,Film Movement
Keyhole,Monterey Media
The Island (Ostrov),Film Movement
Cavite,Gorilla Films
Gothic,LionsGate Entertainment
Tiptoes,Sony Pictures Entertainment
The Yes Men Fix the World,Cinetic Media
The Easy Life (Il sorpasso),Fair Film
Resistance,Metrodome Distribution
Kidnapped,Vaca Films
The Next Best Thing,Paramount Home Video
The Survivalist,IFC Midnight
"Life, Above All",Sony Pictures Classics
Love Crime,IFC Films
Los ojos de Julia (Julia's Eyes),Universal Pictures International France
Looking for Eric,IFC Films
The German Doctor,Samuel Goldwyn Films
Adventures of Sebastian Cole,Culpan Productions
Knuckle,Vitagraph Films
In the Loop,IFC
China Heavyweight,Zeitgeist Films
Nabbeun namja (Bad Guy),Lifesize Entertainment
Marilyn Hotchkiss Ballroom Dancing & Charm School,Samuel Goldwyn Films
Who's Camus Anyway?,Film Movement
White Material,IFC Films
De Sade,American International Pictures
Serbis (Service),Regent Releasing
Graceland,Drafthouse Films
Things Behind the Sun,Behind the Sun Productions
Live Flesh (Carne trmula),Goldwyn Films
And Now A Word From Our Sponsor,Paladin Films
Chariots of Fire,20th Century Fox
A Long Way Down,Magnolia Pictures
In A Better World,Sony Pictures Classics
Offside,Sony Pictures Classics
Masked and Anonymous,Sony Pictures Classics
The Strange Case Of Angelica,Cinema Guild
The Tree of Wooden Clogs (L'albero degli Zoccoli),Koch Lorber Films
Aquellos que me Aman Tomarn el Tren,CNC
Cach,Sony Pictures Classics
Black Orpheus (Orfeu Negro),GAGA Communications
The Samaritan,IFC Films
Hit and Runway,Lot 47 Films
Fast Girls,StudioCanal
Contempt,Rialto Pictures
L'Heure d't (Summer Hours),IFC Films
Film Stars Don't Die in Liverpool,Sony Pictures Classics
The Awakening,Cohen Media Group
33 Postcards,Gravitas Ventures
Tully,Small Planet
Brother (Hermano),Music Box Films
Dirty Laundry,BiggerEpic
Lila Says,Samuel Goldwyn Films
Love Serenade,Miramax
Dim Sum: A Little Bit of Heart,Orion Classics
The Passion of Joan of Arc (La Passion de Jeanne d'Arc),Criterion Collection
Monsters,Magnolia Pictures
Finding Altamira (Altamira),Mare Nostrum Productions
Tokyo Decadence,JVD Company
L'Enfer d'Henri-Georges Clouzot (Henri-George Clouzot's Inferno),Park Circus
Jig,Screen Media
The Triumph of Love,Paramount Classics
Three...Extremes (Saam gaang yi),Lionsgate
Dot the I,Summit Entertainment
The Hunter,Magnolia Pictures
The Inbetweeners,Wrekin Hill Entertainment
Head Above Water,New Line Home Entertainment
L'Eclisse,Acacias Cine Audience
Ikiru,Cowboy Pictures
Stray Dogs,Cinema Guild
A Five Star Life,Music Box Films
The Color of Lies (Au coeur du mensonge),MK2 Productions
Modern Life (Profils paysans: la vie moderne),FunFilm
This Beautiful City,Cinema Epoch
The Exception (The Kaiser's Last Kiss),A24 and DIRECTV
Exporting Raymond,Samuel Goldwyn Films
Maudie,Sony Pictures Classics
The Secret Life of Words,Strand Releasing
Loulou,New Yorker Films
The Vicious Kind,72nd Street Productions
JSA: Joint Security Area (Gongdong gyeongbi guyeok JSA),Asian Crush
Cabiria,Itala Film
An Angel at My Table,Criterion Collection
Ripley's Game,New Line Cinema
Caught,Octane Entertainment
Kikujiro,Sony Pictures Classics
Quill: The Life of a Guide Dog,Music Box Films
The New Girlfriend,Cohen Media Group
Treeless Mountain,Oscilloscope Pictures
Raise Ravens (Cria Cuervos),Criterion Collection
Raising Victor Vargas,Fireworks Pictures
Kedma,Kino International
"Madrid, 1987",Otro Distribuidor
All Stars,Phase 4 Films
Better than Chocolate,Trimark Pictures
Captain Abu Raed,NeoClassics
Lower City (Cidade Baixa),Palm Pictures
31 North 62 East (Too Close to the Truth),Fact Not Fiction Films
Dreams of a Life,Strand Releasing
Happily Ever After,Kino International
Killer Me,Vanguard
Tampopo,Itami Productions
Xizao,Sony Pictures Classic
An Education,Sony Classics
Un Conte de Nol (A Christmas Tale),IFC Films
Gallipoli,Paramount Home Video
Elling,First Look Pictures
La Peau douce (The Soft Skin),Cinema V
The Sensation of Sight,Monterey Media
Vengeance Is Mine,Shochiku Films Ltd.
The Golden Bowl,Lions Gate Films
Summer in February,Tribeca Film
The Red Violin (Le violon rouge),Lions Gate
Mauvais Sang,France 3 Cinma
The Wedding Plan,Norma Productions
Vincere,IFC Films
Three Night Stand,Freestyle Releasing
Gnral Idi Amin Dada: Autoportrait (A Self Portrait),Criterion Collection
The Fox & the Child,Christal Films
Shotgun Stories,International Film Circuit
Sex and Breakfast,Brandman
The Big Picture,MPI Entertainment
Female Perversions,Trimark
The Way Home (Jibeuro),Lions Gate Films
Anti Matter,Uncork'd Entertainment
Twenty8k,Formosa Films
Funny About Love,Paramount Home Video
I Capture the Castle,Samuel Goldwyn Films
La Petite Lili,First Run Features
David Holzman's Diary,Fox Lorber
Daikaij Gamera (The Giant Monster Gamera),Mill Creek Entertainment
Dancing at the Blue Iguana,Keystone Entertainment
Broadway Damage,Wolfe Video
The Queen of Spain (La reina de Espaa),Atresmedia Cine
Paradise: Love,Strand Releasing
Shoot the Piano Player (Tirez sur le pianiste),Criterion Collection
For My Father (Sof Shavua B'Tel Aviv),Film Movement
Balzac and the Little Chinese Seamstress,Soda Pictures Ltd.
Investigation of a Citizen Above Suspicion,Sony Pictures Repertory
Caf de Flore,Adopt Films
Django,Under the Milky Way
Marebito,Tartan Films
The Goebbels Experiment,First Run Features
Darling,Lionsgate
Frankenstein and the Monster from Hell,Paramount Pictures
The Night of the Virgin (La noche del virgen),Cleopatra Entertainment
A Fantastic Fear of Everything,Cinedigm Entertainment
About Adam,Miramax Films
Sueno,Sony Pictures
Farinelli,Sony Pictures Home Entertainment
Fat Girl,Cowboy Booking International
Dai-Nipponjin (Big Man Japan),Magnet Releasing
Sansho the Bailiff (Sansh day),Criterion Collection
Poison,Zeitgeist Films
Antonia (Antnia - O Filme),Anywhere Road Entertainment
Saraband,Sony Pictures Classics
Thumbsucker,Sony Pictures Classics
Gidget,Sony Pictures Entertainment
Up and Down (Horem Pdem) (Loop the Loop),Sony Pictures Classics
The Journey,IFC Films
Osama,MGM
The Earrings of Madame De... (Madame de...),Criterion Collection
Ali's Wedding,Netflix
Game 6,Kindred Media Group
Viva Riva!,Music Box Films
The Whistleblower,IDP/Samuel goldwyn Films
Executive Suite,MGM Home Entertainment
The Story of O,Phaedra Cinema
Il Vangelo Secondo Matteo (The Gospel According to St. Matthew),Water Bearer Films Inc.
Bruiser,LionsGate Entertainment
Hatchet for the Honeymoon (Il rosso segno della follia),Charter Video
Dark River,Left Bank Pictures
Two Women (La Ciociara),Madacy Entertainment
Playtime,Continental Distributing
Disorder (Maryland),Scope Pictures
Paranoid Park,IFC First Take
Dreams,WARNER BROTHERS PICTURES
I've Loved You So Long,Sony Pictures Classics
Mia Madre,Music Box Films
Cannibal,Film Movement
Hyena Road,Rhombus Media
Chloe in the Afternoon (L'amour l'aprs-midi),Media Home Entertainment
Saturday Night And Sunday Morning,MGM Home Entertainment
Melancholia,Magnolia Pictures
The Escape,IFC Films
Kiss of Death,20th Century Fox
Girls Can't Swim,Winstar
Requiem,IFC First Take
Bad Boy Bubby,Blue Underground
A Little Romance,WARNER BROTHERS PICTURES
Beautiful Kate,Roadshow Films
The Lover (L'amant),MGM
Micmacs (Micmacs  tire-larigot),Sony Pictures Classics
Urban Hymn,Level 33 Entertainment
Keep Your Right Up (Soigne ta droite),Jackie Reynal Films
Conquest of Space,Paramount Pictures
The Bubble,Strand Releasing
The Taste of Money,IFC Films
Protektor,Film Movement
Dil Bole Hadippa! (My Heart Goes Hooray!),Yash Raj Films
The Battle of Algiers (La Battaglia di Algeri),Rialto Pictures
Thirty Two Short Films About Glenn Gould,Sony Pictures Home Entertainment
How I Live Now,Magnolia Pictures
Burning Man,IFC Films
Le nom des gens (The Names of Love),Music Box Films
Paul,Universal Pictures
Scars of Dracula,MGM
The Man Who Knew Too Much,Gaumont
Sympathy for Lady Vengeance,Picture This! Entertainment
La Cage aux Folles,MGM Home Entertainment
The Liability,Grindstone Entertainment
Harakiri,Criterion Collection
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",Magnolia Pictures/Magnet Releasing
2 Days in Paris,Samuel Goldwyn Film/Red Envelope
Le Procs (The Trial),Gibraltar Films
Valentin,Miramax Films
Wonderful Town,Kino International Corp.
Doghouse,Vertigo Films
Clean,Palm
Martyrs,Bir Film
Beowulf,Miramax
Tom of Finland,Kino Lorber
8 1/2,Cinerez
Remember,A24 and DIRECTV
The 400 Blows (Les Quatre cents coups),Zenith International Films
Surviving Progress,First Run Features
Fiend Without a Face,MGM
"2 Autumns, 3 Winters",Film Movement
Story of a Love Affair (Cronaca di un amore),Villani Film
Habermann,Corinth Films
The Widow of Saint-Pierre (The Widow of St. Pierre) (La veuve de Saint-Pierre),Lions Gate Releasing
Blood and Black Lace (Sei donne per l'assassino),VCI
The Curse of the Jade Scorpion,Dreamworks
Last Tango in Paris,United Artists
Like Someone in Love,IFC
Jesus,Burning Blue
Far from Men,Tribeca Film
Baran,Miramax Films
Dreamland,Dreamland Motion Picture Co.
My Italian Secret: The Forgotten Heroes,The Film Sales Company
Mama,Universal Pictures
Die Marquise von O... (The Marquise of O),New Line Cinema
After Lucia,Stromboli Films
What Women Want,Gold Lion China
The Man Who Knew Infinity,Edward R. Pressman Film Corporation
Verdict on Auschwitz: The Frankfurt Trial 1963-1965,First Run Features
The Love Punch,Ketchup Entertainment
The Tree,Zeitgeist Films
O' Horten,Sony Pictures Classics
Jodhaa Akbar,UTV Communications
