movie,movie_studio
"My Father, Die",KnightMarcher
Wong Fei-hung chi tit gai dau neung gung (Deadly China Hero) (Claws of Steel) (Last Hero in China),LionsGate Entertainment
The Man Who Would Be King,Warner Bros. Pictures
The Last King,Paradox Film 3
The Mighty Quinn,Twentieth Century Fox Home Entertainment
No Tears For The Dead,CJ Entertainment
The Purge: Election Year,Universal Pictures
Erased,Radius-TWC
Bullet to the Head,Warner Bros. Pictures
Shaolin,Variance Films
Crank,Lionsgate
Kill Order,RLJ Entertainment
The Forger,Lionsgate/Saban Films
Looper,Sony Pictures
Maverick,Warner Bros. Pictures
White Hunter Black Heart,Warner Bros. Pictures
The Walk,Sony Pictures
Zootopia,Walt Disney Animation Studios
The Interpreter,Universal Pictures
Brick,Focus Features
The World Is Not Enough,United Artists
Pacific Rim Uprising,Universal Pictures
Soul Surfer,TriStar/FilmDistrict
Beau Geste,Paramount Pictures
Incognito,Warner Home Video
Bustin' Loose,Universal Pictures
That Darn Cat,Disney
Domino,New Line Cinema
Mindhunters,Miramax
It Happened at the World's Fair,MGM Home Entertainment
Max,Warner Bros. Pictures
Cherry 2000,MGM
Mega Shark vs. Giant Octopus,The Asylum
Daylight,MCA Universal Home Video
Waterworld,MCA Universal Home Video
Sphere,Warner Home Video
Agent Cody Banks 2: Destination London,MGM
'71,Roadside Attractions
Ninja: Shadow of a Tear,Millenium Entertainment
Hard to Kill,Warner Home Video
All Dogs Go To Heaven,MGM Home Entertainment
Missing in Action,MGM Home Entertainment
The Assassination of Jesse James by the Coward Robert Ford,Warner Bros. Pictures
From Dusk Till Dawn 3: The Hangman's Daughter,Dimension Home Video
Prince of Central Park,Trimark
Hot to Trot,Warner Home Video
Waist Deep,Focus Features
Bill & Ted's Bogus Journey,Orion Pictures Corp.
Walking Tall,MGM
Drunken Master (Jui kuen),Sony Pictures Home Entertainment
Undisputed,Miramax Films
Highlander III: The Sorcerer (Highlander: The Final Dimension),Hemdale Home Video
Precious Cargo,Grindstone Entertainment Group
2012,Sony Pictures/Columbia
BloodRayne,Fantastic Films International
Trancers,Full Moon
AVP - Alien Vs. Predator,20th Century Fox
The Da Vinci Code,Sony Pictures
Sanjuro (Tsubaki Sanjr),Criterion Collection
Charley Varrick,Universal Pictures
Cidade de Deus (City of God),Miramax Films
Kill Zone 2 (Saat po long 2),Well Go USA
Ant-Man and the Wasp,Walt Disney Pictures
The Gunman,Open Road Films
Another 48 Hrs.,Paramount Home Video
The Living Daylights,MGM Home Entertainment
Contraband,Universal Pictures
Le Chteau de Ma Mre (My Mother's Castle),Gaumont
Final Exam,Motion Picture Marketing
Source Code,Summit Entertainment
Goldfinger,United Artists
BLAST!,Paul Devlin Productions
Dead Hooker in a Trunk,Bounty Films
The Assassin,Central Motion Pictures Corporation
Fletch Lives,MCA Universal Home Video
The Black Stallion,Twentieth Century Fox Home Entertainment
Redbelt,Sony Pictures Classics
Hoodlum,905 Corporation
Chat gim (The Seven Swords),Mandarin Films
Sunset,Sony Pictures Home Entertainment
Lone Survivor,Universal Studios
Beyond Rangoon,Sony Pictures Home Entertainment
Doomsday,Universal Pictures
A Stranger Among Us,Buena Vista Pictures
The Bear,Sony Pictures Home Entertainment
Ouija,Universal Pictures
7 Boxes,Breaking Glass Pictures
The Longest Day,Twentieth Century Fox Home Entertainment
Switchback,Paramount Home Video
Heatstroke,Phase 4 Films
Dick Tracy,Buena Vista Pictures
The Incredible Hulk Returns,Anchor Bay Entertainment
Oblivion,Universal Pictures
The Lord of the Rings: The Two Towers,New Line Cinema
Throne of Blood,Media Home Entertainment
Warrior King 2 (The Protector 2),Magnolia Pictures
Reset,Well Go USA Entertainment
The Deadly Companions (Trigger Happy),VCI Entertainment
Battle in Seattle,Redwood Palms Pictures
Red Eye,Dreamworks
Judgment Night,Universal Pictures
Infra-Man (Zhong guo chao ren),Joseph Brenner Associates
The Spy Who Came In from the Cold,Paramount Pictures
Lawrence of Arabia,Columbia Pictures
Aliens,20th Century Fox Film Corporat
5 Days Of War,Anchor Bay Entertainment
Double Dragon,MCA Universal Home Video
Young Guns,Artisan Entertainment
Kingsglaive: Final Fantasy XV,Square Enix Company
The Take,Hatchet Films
Justin and the Knights of Valour,Arc Entertainment
Snatch,Columbia Pictures
Hostiles,Entertainment Studios Motion Pictures
Barbarosa,LionsGate Entertainment
Run for Cover,Pathfinder Home Entertainment
Ashes of Time Redux,Sony Pictures Classics
Rabbit-Proof Fence,Miramax Films
The Odessa File,Sony Pictures Home Entertainment
Absolute Power,Warner Home Video
Madagascar 3: Europe's Most Wanted,Paramount/Dreamworks
The Viral Factor,China Lion Films
The Colossus of Rhodes,Warner Home Video
The Hidden Blade,Tartan Films
The Tale of Zatoichi Continues (Zoku Zatichi monogatari),Criterion Collection
American Ultra,Lionsgate Pictures
Xing xing wang (The Mighty Peking Man) (Colossus of Congo) (Goliathon),Miramax
Catchfire (Backtrack),Vestron Video
Craigslist Joe,Independent Pictures
Last Days In The Desert,American Zoetrope
The Impossible,Lionsgate Films
Suicide Squad,Warner Bros. Pictures
Casey's Shadow,Sony Pictures Entertainment
End of Days,Universal Pictures
The Straight Story,Buena Vista Pictures
Twin Dragons (Shuang long hui) (Brother vs. Brother),Miramax Films
Underworld: Awakening,Screen Gems
The Croods,20th Century Fox
Jumanji: Welcome to the Jungle,Columbia Pictures
Trash,Focus Features
The Maze Runner,20th Century Fox
Lust in the Dust,New World Video
That's the Way I Like It,Miramax
OSS 117: Rio ne rpond plus (Lost in Rio),Music Box Films
Shade,RKO Pictures
"It's a Mad, Mad, Mad, Mad World",United Artists
Criminal,Summit Entertainment
Aftermath,Freestyle Releasing
The One,Columbia Pictures
Suicide Kings,Artisan Entertainment
Jack the Giant Slayer,Warner Bros.
Revenge,Shudder and NEON
Sky High,Buena Vista
Africa Screams,United Artists
Taking Lives,Warner Bros.
Elephant Walk,Paramount Pictures
Furious 7,Universal Pictures
Deadpool,20th Century Fox
Brick Mansions,Relativity Media
Son of Batman,WARNER BROTHERS PICTURES
Bait,Anchor Bay Entertainment
Jane Got a Gun,Relativity Media
Close Range,Bleiberg Entertainment
Earth to Echo,Relativity Media
The Accidental Spy (Te wu mi cheng),Miramax
Jeremiah Johnson,Warner Home Video
24: Redemption,Fox Network
Air Force,WARNER BROTHERS PICTURES
The Bedford Incident,Sony Pictures Entertainment
Beverly Hills Cop III,Paramount Home Video
Above the Law,Warner Home Video
Open Season,Sony Pictures
16 Blocks,Warner Bros.
Sully,Warner Bros.
Convoy,Lionsgate
Stagecoach,Warner Home Video
The 3 Worlds of Gulliver,Sony Pictures Entertainment
Cats & Dogs,Warner Bros. Pictures
Cirque du Freak: The Vampire's Assistant,Universal Pictures
I Am Legend,Warner Bros. Pictures
The Heir Apparent: Largo Winch,Music Box Films
Wallace & Gromit: The Curse of the Were-Rabbit,Dreamworks
"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom)",MPI Media Group
Beowulf,Paramount Pictures
Starship Troopers,Sony Pictures Home Entertainment
Assassins,Warner Home Video
Brush With Danger,Sun and Moon Films
Rush Hour 2,New Line Cinema
Timecop,MCA Universal Home Video
The Jungle Book,Walt Disney Pictures
World War Z,Paramount Pictures
Rocky III,MGM
In God's Hands,Sony Pictures Home Entertainment
12 Rounds,20th Century Fox
The Black Swan,20th Century Fox Film Corporation
Those Magnificent Men in Their Flying Machines,20th Century Fox
Curse of the Golden Flower,Sony Classic Pictures
Ip Man: The Final Fight,Well Go USA
Ddongpari (Breathless),Cinema Asia Releasing
Ragnarok,Magnolia Pictures
A Sound of Thunder,Warner Bros.
Sympathy for Mr. Vengeance,Tartan Films
xXx: State of the Union,Sony Pictures
Battle of Britain,MGM Home Entertainment
The Outsider,RLJ Entertainment/Image Entertainment
Dead Bang,Warner Home Video
This Is the End,Sony Pictures
Atlantis - The Lost Empire,Walt Disney Pictures
Mesrine: Killer Instinct (L'instinct de mort),Music Box Films
Chain Reaction,Twentieth Century Fox Home Entertainment
A Lonely Place to Die,IFC Films
Camp Nowhere,Buena Vista Pictures
The Missing,Sony Pictures Entertainment
The Tuxedo,Dreamworks Distribution LLC
G.I. Joe: The Rise of Cobra,Paramount Pictures
Against The Sun,The American Film Company
Towards Darkness,Peace Arch Entertainment
Tron Legacy,Walt Disney Pictures
Next Day Air,Summit Entertainment
The Bucket List,Warner Bros. Pictures
Agent Vinod,Eros International
Thunderbirds,Universal Pictures
Blade,New Line Cinema
My Side of the Mountain,Paramount Pictures
Fun & Fancy Free,RKO Pictures
Reign of Fire,Buena Vista Distribution Compa
The Hobbit: An Unexpected Journey,Warner Bros.
Antitrust,MGM/UA
And Now Ladies & Gentlemen,Paramount Classics
High-Rise,Embargo Films
The Animatrix,Warner Home Video
Civil Brand,Lions Gate Films
Rage,RLJ/Image Entertainment
District 9,Sony Pictures/Screen Gems
The Spirit of St. Louis,Warner Home Video
Beautiful,Sony Pictures Home Entertainment
MacGruber,Universal/Rogue Pictures
24 Hours to Live,Saban Films
3-4x juugatsu (Boiling Point),Swift Distribution
The New Adventures of Pippi Longstocking,Sony Pictures Home Entertainment
The Bridge on the River Kwai,Columbia Pictures
Oz the Great and Powerful,Walt Disney Pictures
Tarzan,Buena Vista Pictures
Captain America: The First Avenger,Paramount Pictures
Captain Horatio Hornblower,Warner Bros. Pictures
Hell Up in Harlem,MGM
Skinwalkers,Lions Gate Films
New Jack City,Warner Bros. Pictures
Wild Card,The Film Arcade
The Eagle,Focus Features
Titanic,20th Century Fox
Death Proof,The Weinstein Co./Dimension
Army of Darkness,Universal Pictures
The Journey of Natty Gann,Walt Disney Productions
The Patriot,Columbia Pictures
I Spy,Columbia Pictures
John Carpenter's Ghosts of Mars,Sony
First Kill,Lionsgate Premiere
Rabid Dogs (Enrags),Black Dynamite Films
Kelly's Heroes,MGM
Easy Money,Vestron Video
Wild America,Warner Bros. Pictures
Cars,Buena Vista
Vida Sin Rumbo,Atlantic Releasing
The Rescuers,Walt Disney Pictures
Teenage Mutant Ninja Turtles III,WARNER BROTHERS PICTURES
The Shootist,Paramount Home Video
Disco Godfather,Transvue Pictures Corp.
Hour of the Gun,United Artists
The Princess Bride,20th Century Fox
Backdraft,MCA Universal Home Video
Headshot,Vertical Entertainment
Flight of the Phoenix,20th Century Fox
The Tale of Zatoichi,Criterion Collection
Disneynature African Cats,Disneynature
Into the Blue 2: The Reef,MGM Home Entertainment
Uncommon Valor,Paramount Home Video
Milarepa,Luminous Velocity
The Vikings,MGM Home Entertainment
Hulk,Universal Pictures
Doug's 1st Movie,Walt Disney Productions
The Island of Dr. Moreau,MGM
Ace Ventura: Pet Detective,Warner Bros. Pictures
Conan the Barbarian,Lionsgate
The Hunted,Paramount Pictures
Hacksaw Ridge,Summit Entertainment
Blown Away,MGM Home Entertainment
Kataude mashin gru (The Machine Girl),Media Blasters
The Return of Swamp Thing,Sony Pictures Home Entertainment
Repo Men,Universal Studios
Feast,The Weinstein Company
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros. Pictures
Chipmunk Adventure,Lorimar Home Video
The Hunger Games: Catching Fire,Lionsgate Films
The Horde (La Horde),IFC Films
Broken Horses,Vinod Chopra Films
Point Break,Warner Bros. Pictures
Viking Destiny (Of Gods and Warriors),Saban Films
Delhi Belly,UTV Motion Pictures
Gone in 60 Seconds,H.B. Halicki Mercantile Co.
Ladrn que Roba a Ladrn,Lionsgate Films
The Assassination Bureau,Paramount Pictures
Geronimo - An American Legend,Sony Pictures Home Entertainment
Wrath of the Titans,Warner Bros.
War of the Worlds,Paramount Pictures
G.I. Joe: Retaliation,Paramount Pictures
For Your Eyes Only,Twentieth Century Fox Home Entertainment
Tuff Turf,New World Video
Indiana Jones and the Temple of Doom,Paramount Pictures
Bad Girls,Twentieth Century Fox Home Entertainment
Road to Bali,American Pop Classics
Quicksilver,Sony Pictures Home Entertainment
R.I.P.D.,Universal Pictures
Season of the Witch,Relativity Media
Madagascar: Escape 2 Africa,Paramount Studios
The Lost World - Jurassic Park,Universal Pictures
Pirates of the Caribbean: Dead Man's Chest,Buena Vista
Night Watch,Fox Searchlight
Squanto: A Warrior's Tale,Walt Disney Productions
Hot Shots! Part Deux,Twentieth Century Fox Home Entertainment
Kickboxer: Retaliation,Well Go USA Entertainment
Dead Sushi,Office Walker
The A-Team,20th Century Fox
Quick Change,Warner Home Video
Attack the Block,Screen Gems
Live Free or Die Hard,20th Century Fox
The Matrix Revisited,WARNER BROTHERS PICTURES
Ladyhawke,20th Century Fox
High Heels and Lowlifes,Buena Vista Distribution Compa
Rio Bravo,Xenon
Oliver Twist,United Artists
The Expendables 3,Lionsgate Pictures
Birth of the Dragon,BH Tilt/WWE Studios
Relentless,Sony Pictures Home Entertainment
Sinbad the Sailor,RKO Radio Pictures
The Town,Warner Bros. Pictures
Lara Croft Tomb Raider - The Cradle of Life,Paramount Pictures
The Lego Batman Movie,Warner Bros. Pictures
Tarzan and the Lost City,Warner Home Video
City of Ember,Fox Walden
Blood: The Last Vampire,Samuel Goldwyn Films
Gringo Trails,Icarus Films
Robinson Crusoe on Mars,Paramount Pictures
Biker Boyz,Dreamworks Distribution LLC
The Spiderwick Chronicles,Paramount Pictures
Cutthroat Island,Live Home Video
Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest),New World Pictures
Beyond Outrage,Magnet Releasing
The Adventures of Pluto Nash,Warner Bros.
Duets,Hollywood Pictures
Gun Crazy (Deadly Is the Female),United Artists
The Delta Force,Media Home Entertainment
Running Free,Columbia Pictures
Gigli,Columbia Pictures
Kull the Conqueror,Universal Pictures
Prince of Persia: The Sands of Time,Walt Disney Pictures
In Too Deep,Dimension Films
The Girl from the Naked Eye,Naedomi Media
Kidnapping Mr. Heineken,Alchemy
Brawl in Cell Block 99,RLJE Films
The Kidnapping of Michel Houellebecq,Kino Lorber Films
The Last Samurai,Warner Bros. Pictures
Drop Zone,Paramount
The Crimson Pirate,Warner Bros. Pictures
A Turtle's Tale: Sammy's Adventures,nWave Pictures
M. Butterfly,Warner Home Video
The St. Valentine's Day Massacre,20th Century Fox
Roar,Drafthouse Films
Wonder Woman,Warner Bros. Pictures
Catwoman,Warner Bros. Pictures
Get Carter,WARNER BROTHERS PICTURES
The Siege,20th Century Fox
The Divergent Series: Allegiant,Lionsgate
Mechanic: Resurrection,Summit Entertainment
Bunraku,Cinedigm Entertainment
To Have and Have Not,MGM Home Entertainment
The Black Pirate,United Artists
RoboCop 3,MGM
Beverly Hills Ninja,Sony Pictures Home Entertainment
Blood Diamond,Warner Bros. Pictures
The Raid 2,Sony Pictures Classics
The Reunion,Samuel Goldwyn Films
The Magnificent Seven,Sony Pictures
Joe Kidd,Universal Studios
Are We There Yet?,Sony Pictures
Fantastic Voyage,20th Century Fox Film Corporation
Saints and Soldiers,Excel Entertainment
The Naked Prey,Paramount Home Video
In Old Arizona,20th Century Fox Film Corporation
Mortal Kombat: Annihilation,New Line Home Entertainment
Little Fauss and Big Halsy,Paramount Pictures
The Bodyguard (Kaavalan),Reliance Big Pictures
Jackass 3,Paramount Pictures/MTV Films
Heist,Emmett/Furla Films
Underworld: The Rise of the Lycans,Sony Pictures/Screen Gems
