movie,screenwriter,year
Immoral Tales,Walerian Borowczyk,1976
The Long Riders,Steven Smith,1980
Funny Girl,Isobel Lennart,1968
Vanity Fair,Julian Fellows,2004
The Lazarus Project,John Glenn,2008
The Traveler,Joseph Muscat,2010
My Side of the Mountain,Jane Klove,1969
Our Song,Jim McKay,2001
The Last Seduction,Steve Barancik,1994
Patriot Games,Donald E. Stewart,1992
X-Men: Days of Future Past,Jane Goldman,2014
Chicken Run,Karey Kirkpatrick,2000
American Pop,Ronni Kern,1981
Gayby,Jonathan Lisecki,2012
The Hills Have Eyes 2,Martin Weisz,2007
Brguminn (White Night Wedding),??lafur Egill Egilsson,2008
Wendy and Lucy,Jonathan Raymond,2008
Finder's Fee,Jeff Probst,2001
Peter's Friends,Martin Bergman (II),1992
Police Academy 7: Mission to Moscow,Pat Proft,1994
Apache,James R. Webb,1954
Godsend,Mark Bomback,2003
And the Band Played On,Arnold Schulman,1993
Half Past Dead,Don Michael Paul,2002
After the Storm (Umi yori mo mada fukaku),Hirokazu Koreeda,2017
Penguins Of Madagascar,Alan Schoolcraft,2014
"I Love You, I Love You Not",Wendy Kesselman,1997
Madison,Scott Bindley,2005
The Frontier,Webb Wilcoxen,2016
City of Joy,Madeleine Gavin,2018
The Sting,David S. Ward,1973
Father of the Bride: Part II,Charles Shyer,1995
Down by Law,Jim Jarmusch,1986
Tekkonkinkreet (Tekkon kinkurto),Anthony Weintraub,2007
The Big Tease,Sacha Gervasi,2000
Harold,T. Sean Shannon,2008
Rumble in the Bronx,Edward Tang,1995
Wrecker,Evan Tylor,2015
Vision Quest,Darryl Ponicsan,1985
The Color of Lies (Au coeur du mensonge),Odile Barski,1999
All the King's Men,Robert Penn Warren,1949
Beyond the Lights,Gina Prince-Bythewood,2014
Click,Mark O'Keefe,2006
Vice,Fabrizio De Andre,2015
Cop,James B. Harris,1988
Gerontophilia,Daniel Allen Cox,2015
Mooz-lum,Qasim Basir,2011
It Follows,David Robert Mitchell,2015
Fugitive Pieces,Jeremy Podeswa,2008
Chrystal,Ray McKinnon,2004
Decoding Deepak,Gotham Chopra,2012
The Nine Lives of Fritz the Cat,Robert Taylor,1974
Homo Faber (Voyager),Volker Schlndorff,1991
Herman's House,Angad Bhalla,2013
The Perfect Holiday,Marc Calixte,2007
