movie,screenwriter,year
Revenge of the Nerds II: Nerds in Paradise,Dan Guntzelman,1987
All Square,Timothy Brady,2018
Girlhood,Cline Sciamma,2015
Alan Partridge,Rob Gibbons,2014
Black Mass,Mark Mallouk,2015
Maze,Rob Morrow,2001
The Manxman,Eliot Stannard,1929
The Citadel,Frank Wead,1938
Absence,Jimmy Loweree,2013
Night Moves,Kelly Reichardt,2014
Mannequin,Ed Rugoff,1987
Tunes of Glory,James Kennaway,1960
The President,Mohsen Makhmalbaf,2016
Monsters University,Daniel Gerson,2013
What a Way to Go!,Adolph Green,1964
Lipstick,David Rayfiel,1976
Gigi,Frederick Loewe,1958
Green Zone,Brian Helgeland,2010
Catch Hell,Joe Gossett,2014
The Eye,Hillary Seitz,2008
Anchors Aweigh,Isobel Lennart,1945
Mr. Jealousy,Noah Baumbach,1998
Richard Pryor: Omit The Logic,P.G. Morgan,2013
Maya The Bee Movie,Fin Edquist,2015
Step Up 2 the Streets,Toni Ann Johnson,2008
1408,Larry Karaszewski,2007
Personal Velocity: Three Portraits,Rebecca Miller,2002
Jailhouse Rock,Guy Troper,1957
Chasing Mavericks,Kario Salem,2012
Bridget Jones's Diary,Andrew Davies,2001
Star Wars: Episode IV - A New Hope,George Lucas,1977
They Will Have to Kill Us First,Andy Morgan,2016
One for the Money,Stacy Sherman,2012
Status Update,Jason Filardi,2018
American History X,David McKenna,1998
Insomnia,Hillary Seitz,2002
Harry Potter and the Chamber of Secrets,Steve Kloves,2002
Little Boy Blue,Michael Boston,1998
Inhale,John Claflin,2010
Support Your Local Gunfighter,James Edward Grant,1971
Defiance,Clayton Frohman,2009
Blue Caprice,R.F.I. Porto,2013
Richard Pryor Live on the Sunset Strip,Richard Pryor,2000
Running on Empty,Naomi Foner,1988
Troop Beverly Hills,Ava Ostern Fries,1989
Waist Deep,Darin Scott,2006
Dogville,Lars von Trier,2003
Dim Sum Funeral,Donald Martin,2008
Don McKay,Jake Goldberger,2010
Color of Freedom,Bille August,2007
The Music of Silence,Michael Radford,2018
Metropolis,Thea von Harbou,1927
Machete,Robert Rodriguez,2010
Toy Story 3,Andrew Stanton,2010
The Hunger Games: Mockingjay - Part 1,Danny Strong,2014
Kinky Boots,Geoff Deane,2006
Flannel Pajamas,Jeff Lipsky,2006
I Vitelloni,Federico Fellini,1953
Le Jour se lve (Daybreak),Jacques Prevert,1939
Teenage Paparazzo,Thomas de Zengotita,2010
Disneynature Earth,Alastair Fothergill,2009
Warning Sign,Matthew Robbins,1985
One From the Heart,Armyan Bernstein,1982
Take This Waltz,Sarah Polley,2012
Blue Steel,Kathryn Bigelow,1990
Safe Men,John Hamburg,1998
The Saddest Music in the World,George Toles,2004
Jinn,Ajmal Zaheer Ahmad,2014
The Devil Bat,John T. Neville,1940
Headshot,Timo Tjahjanto,2017
"Jesus, You Know",Ulrich Seidl,2003
Teenage Mutant Ninja Turtles: The Movie,Peter Laird,1990
Despicable Me 3,Cinco Paul,2017
Bookies,Michael Bacall,2004
Mandela: Long Walk to Freedom,William Nicholson,2013
Paris When It Sizzles,George Axelrod,1964
Rest Stop,John Shiban,2006
Return of the Living Dead Part II,Ken Wiederhorn,1988
The Babysitter,Guy Ferland,1995
Robots,David Lindsay-Abaire,2005
Someday This Pain Will Be Useful to You,Dahlia Heyman,2012
Snitch,Justin Haythe,2013
Centurion,Neil Marshall,2010
Yellowbrickroad,Andy Mitton,2011
Rise of the Guardians,David Lindsay-Abaire,2012
In the Name of My Daughter,Cdric Anger,2015
After Words,Joel Silverman,2015
MacGruber,John Solomon,2010
Pocketful of Miracles,Hal Kanter,1961
Remember the Daze,Jess Manafort,2008
The Snake Pit,Millen Brand,1948
Spawn,Alan B. McElroy,1997
Blow,Nick Cassavetes,2001
The Night of the Virgin (La noche del virgen),Guillermo Guerrero,2016
Teenage Mutant Ninja Turtles,Josh Appelbaum,2014
The Maltese Falcon,John Huston,1941
Cousins,Stephen Metcalfe,1989
A Night at the Roxbury,Chris Kattan,1998
1 Night (One Night),Minhal Baig,2017
Mud,Jeff Nichols,2013
A Thin Line Between Love and Hate,Martin Lawrence,1996
Almost Heroes,Tom Wolfe,1998
Violet,Bas Devos,2017
Okja,Bong Joon Ho,2017
When Jews Were Funny,Alan Zweig,2013
Blade of the Immortal (Mugen no jnin),Tetsuya Oishi,2017
King Cobra,Justin Kelly,2016
Open Grave,Eddie Borey,2014
Glory Road,Bettina Gilois,2006
On Dangerous Ground,Nicholas Ray,1952
The Duchess,Jeffrey Hatcher,2008
Jonah Hex,Mark Neveldine,2010
The Way of the Gun,Christopher McQuarrie,2000
The Wolf of Wall Street,Terence Winter,2013
Jason and the Argonauts,Jan Read,1963
Dementia 13,Francis Ford Coppola,1963
Hamlet,Michael Almereyda,2000
Afterglow,Alan Rudolph,1997
How To Make Money Selling Drugs,Matthew Cooke,2013
Momentum,Debra Sullivan,2015
At First Sight,Steve Levitt,1999
My Friend Dahmer,Marc Meyers,2017
Ladrn que Roba a Ladrn,Jo Jo Henrickson,2007
A Million Ways to Die in the West,Seth MacFarlane,2014
Mystery Train,Jim Jarmusch,1989
The Dancer Upstairs,Nicholas Shakespeare,2002
Posse,William Roberts,1975
Happy Gilmore,Tim Herlihy,1996
Trailer Park Boys: The Movie,Mike Clattenburg,2006
The Road to El Dorado,Terry Rossio,2000
The Smurfs,J. David Stem,2011
Warriors of the Rainbow: Seediq Bale,Te-Sheng Wei,2012
Best in Show,Christopher Guest,2000
Vampire's Kiss,Joseph Minion,1989
Dominick Dunne: After the Party,Kirsty de Garis,2008
Kingdom Come,Jessie Jones,2001
Gun Hill Road,Rashaad Ernesto Green,2011
I Am Sam,Kristine Johnson,2001
Alvin and the Chipmunks: The Road Chip,Randi Mayem Singer,2015
Goats,Mark Jude Proirier,2012
Die Marquise von O... (The Marquise of O),Eric Rohmer,1976
National Security,Jay Scherick,2003
American Teen,Nanette Burstein,2008
Brothers of the Head,Tony Grisoni,2006
Alone in Berlin,Achim von Borries,2017
I Will Follow You Into The Dark,Mark Edwin Robinson,2013
Geostorm,Dean Devlin,2017
Rumble Fish,Francis Ford Coppola,1983
The Hoax,William Wheeler,2007
Cheaper by the Dozen,Joel Cohen,2003
36 quai des orfevres,Dominique Loiseau,2005
Kung Pow! Enter the Fist,Steve Oedekerk,2002
Repo Man,Alex Cox,1984
Lady in the Lake,Steve Fisher,1947
It Stains the Sands Red,Colin Minihan,2017
The Man With the Golden Arm,Lewis Meltzer,1955
Stellet Licht (Silent Light),Carlos Reygadas,2007
Almost Heroes,Mark Nutter,1998
Serious Moonlight,Adrienne Shelly,2009
Cactus Flower,I.A.L. Diamond,1969
28 Hotel Rooms,Matt Ross,2012
Sorority Boys,Greg Coolidge,2002
Little Nikita,John Hill,1988
Caterpillar,Hisato Kurosawa,2011
Nashville,Joan Tewkesbury,1975
Wrinkles,ngel de la Cruz,2014
K-19: The Widowmaker,Christopher Kyle,2002
Matilda,Robin Swicord,1996
Race to Witch Mountain,Mark Bomback,2009
The Black Cauldron,Ron Clements,1985
Into the Night,John Landis,1985
Arsenic and Old Lace,Julius J. Epstein,1944
La tte en friche (My Afternoons with Margueritte),Jean-Loup Dabadie,2011
The Tooth Fairy,Babaloo Mandel,2010
Sand Castle,Chris Roessner,2017
Godspell,John-Michael Tebelak,1973
Hard Ticket to Hawaii,Andy Sidaris,1987
Spy Kids 2: The Island of Lost Dreams,Robert Rodriguez,2002
This Is Spinal Tap,Christopher Guest,1984
Kinsey,Bill Condon,2004
Bad Johnson,Jeff Tetreault,2014
Punchline,David Seltzer,1988
Where the Buffalo Roam,Hunter S. Thompson,1980
Mr. North,Janet Roach,1988
The Beat Beneath My Feet,Michael Mller,2016
Three Colors: White (Trois Couleurs: Blanc),Krzysztof Piesiewicz,1994
Living Is Easy With Eyes Closed,David Trueba,2014
Cop Car,Jon Watts,2015
372 le Matin (Betty Blue) (37.2 Degrees in the Morning),Philippe Djian,1986
The Informant!,Scott Z. Burns,2009
The Hoax,Clifford Irving,2007
Monster House,Rob Schrab,2006
Deceived,Mary Agnes Donoghue,1991
Volcano,Jerome Armstrong,1997
The Watcher,Darcy Meyers,2000
Unsane,James Greer,2018
House of Dark Shadows,J. Gordon Russell,1970
Divorce American Style,Norman Lear,1967
Sorority Row,Josh Stolberg,2009
The Roaring Twenties,Richard Macaulay,1939
Pioneer,Hans Gunnarsson,2014
Pollock,Barbara Turner,2000
Celtic Pride,Colin Quinn,1996
Black Rose,George Saunders,2017
Rookie of the Year,Sam Harper,1993
Ip Man: The Final Fight,Erica Lee Man,2013
The Living Daylights,Richard Maibaum,1987
The Monster Project,Corbin Billings,2017
Looking for an Echo,Martin Davidson,1998
The Pruitt-igoe Myth: An Urban History,Jaime Freidrichs,2012
The Legend of Tarzan,Craig Brewer,2016
Invaders from Mars,William Cameron Menzies,1953
Hit and Runway,Christopher Livingston,1999
The Frighteners,Peter Jackson,1996
Captivity,Joseph Tura,2007
Madeline's Madeline,Josephine Decker,2018
Thirty Seconds Over Tokyo,Dalton Trumbo,1944
Tacones Lejanos (High Heels),Pedro Almodvar,1991
Iron Man 3,Drew Pearce,2013
Borgman,Alex van Warmerdam,2014
Aparajito,Satyajit Ray,1956
Better Luck Tomorrow,Ernesto M. Foronda,2002
Men with Brooms,John Krizanc,2002
Germinal,Arlette Langmann,1994
The Eagle Has Landed,Tom Mankiewicz,1976
Post Tenebras Lux,Carlos Reygadas,2013
The Way Way Back,Jim Rash,2013
Daguerrotype (Le secret de la chambre noire),Kiyoshi Kurosawa,2016
Action Point,John Altschuler,2018
Not Without My Daughter,Pat Riddle,1991
Alexander,Christopher Kyle,2004
The Little Princess,Walter Ferris,1939
Coneheads,Tom Davis,1993
Teen Titans Go! To the Movies,Michael Jelenic,2018
Marketa Lazarov,Frantisek Vlcil,1967
Sound of Noise,Johannes Stjaerne Nilsson,2012
The One I Love,Justin Lader,2014
Bronson,Nicolas Winding Refn,2009
Marooned,Mayo Simon,1969
Kes,Ken Loach,1969
Spring,Aaron Moorhead,2015
Son of Batman,Joe R. Lansdale,2014
The Hunchback of Notre Dame II,Jule Selbo,2001
Zombie Strippers,Jay Lee,2008
Little Fugitive,Ray Ashley,1953
Feeling Minnesota,Steven Baigelman,1996
Murder by Numbers,Tony Gayton,2002
Meeting Venus,Michael Hirst,1991
Dave Chappelle's Block Party,Dave Chappelle,2006
Unmade Beds,Alexis Dos Santos,2009
Inside Deep Throat,Randy Barbato,2005
Victoria & Abdul,Lee Hall,2017
The Ultimate Gift,Cleve Landsberg,2006
Broadway Melody of 1936,Moss Hart,1935
How To Be Single,Marc Silverstein,2016
M,Thea von Harbou,1931
The Pirates of Penzance,Wilford Leach,1983
Second Coming,Debbie Tucker Green,2014
Ravenous,Ted Griffin,1999
Knights of the Round Table,Jan Lustig,1954
Beyond Therapy,Christopher Durang,1987
Standing in the Shadows of Motown,Ntozake Shange,2002
18 Again!,Josh Goldstein,1988
Danny Says,Brendan Toller,2016
Terrifier,Damien Leone,2018
Fade to Black,Oliver Parker,2006
Jersey Shore Massacre,Paul Tarnopol,2014
Jacob's Ladder,Joel Blasberg,1990
A Suitable Girl,Smriti Mundhra,2017
Lady in White,Frank LaLoggia,1988
Dennis the Menace,John Hughes,1993
Venus in Fur,David Ives,2014
Fire at Sea (Fuocoammare),Gianfranco Rosi,2016
Deep Impact,Bruce Joel Rubin,1998
Over Your Dead Body (Kuime),Kikumi Yamagishi,2014
Two Ninas,Neil Turitz,2000
Chimes at Midnight,Orson Welles,1965
Deadpool,Rhett Reese,2016
Anchorman - The Legend Of Ron Burgundy,Adam McKay,2004
Transsiberian,Brad Anderson,2008
I'll See You in My Dreams,Brett Haley,2015
Another 48 Hrs.,John Fasano,1990
Yukinojo Henge (An Actor's Revenge),Teinosuke Kinugasa,1971
Swing Vote,Jason Richman,2008
Felt,Jason Banker,2015
Appropriate Behavior,Desiree Akhavan,2015
How to Train Your Dragon,Dean DeBlois,2010
Salvador,Oliver Stone,1986
My Golden Days (Trois Souvenirs De Ma Jeunesse),Arnaud Desplechin,2016
Under Siege 2: Dark Territory,Matt Reeves,1995
"Farewell, My Lovely",David Z Goodman,1975
How She Move,Annmarie Morais,2008
The Night of the Generals,Joseph Kessel,1967
Vegas Vacation,Elisa Bell,1997
The Big Chill,Barbara Benedek,1983
Roman Holiday,Ian McLellan Hunter,1953
Circle of Iron,Stanley Mann,1979
Amira & Sam,Sean Mullin,2015
The Deer Hunter,Deric Washburn,1978
Vantage Point,Barry L. Levy,2008
The Dilemma,Allan Loeb,2011
I Know Where I'm Going!,Emeric Pressburger,1947
Madagascar: Escape 2 Africa,Etan Cohen,2008
The Suicide Theory,Joseph J. Kospiah,2015
The Double,Avi Korine,2014
Mauvais Sang,Leos Carax,1987
Cars,Dan Fogelman,2006
The Night Listener,Armistead Maupin,2006
Heatstroke,Anne Brooksbank,2014
My Darling Clementine,Samuel G. Engel,1946
The Words,Lee Sternthal,2012
Any Day,Rustam Branaman,2015
Serena,Christopher Kyle,2015
Duck Butter,Alia Shawkat,2018
Bombshell (Blonde Bombshell),Jules Furthman,1933
The Corporation,Joel Bakan,2004
RoboCop 3,Frank Miller (II),1993
The Devil's Rock,Paul Campion,2012
Steve Jobs,Aaron Sorkin,2015
The Program,David S. Ward,1993
Insomnia,Nikolaj Frobenius,1998
Tucker: The Man and His Dream,Arnold Schulman,1988
Bethlehem,Ali Vakad,2014
"Oslo, August 31st",Joachim Trier,2012
Hart's War,Terry George,2002
Pinky,Philip Dunne,1949
Monster Hunt (Zhuo Yao Ji),Alan Yuen,2016
The Big Red One,Samuel Fuller,1980
Epic,James V. Hart,2013
How to Eat Fried Worms,Bob Dolman,2006
Sylvia,John Brownlow,2003
Nine Months,Patrick Braoude,1995
The Center of the World,Ellen Benjamin Wong,2001
For Whom the Bell Tolls,Dudley Nichols,1943
Screwed,Larry Karaszewski,2000
The Adventures of Milo and Otis,Mark Saltzman,1986
Frontera,Michael Berry,2014
Greenfingers,Joel Hershman,2001
Too Late Blues,Richard Carr,1961
The Hard Word,Scott Roberts,2003
The Dish,Santo Cilauro,2001
Jail Bait,Alex Gordon,1954
Deliver Us from Evil,Amy Berg,2006
The Pack,Evan Randall Green,2016
Private Resort,Gordon Mitchell,1985
Serenity,Joss Whedon,2005
Ted,Wellesley Wild,2012
The Man from Planet X,Jack Pollexfen,1951
Viva Knievel!,Norman Katkov,1977
The Legend of Billie Jean,Lawrence Konner,1985
Trading Places,Timothy Harris,1983
Commandments,Daniel Taplitz,1997
Blame,Quinn Shephard,2018
The Black Waters of Echo's Pond,Sean Clark,2010
One Bright Shining Moment: The Forgotten Summer of George McGovern,Frank Cottrell Boyce,2005
Flags of Our Fathers,William Broyles,2006
The Game Plan,Nichole Millard,2007
Mad Hot Ballroom,Amy Sewell,2005
Mr. Bean's Holiday,Hamish McColl,2007
Paprika,Seishi Minakami,2006
A Night in Casablanca,Frank Tashlin,1946
Miss You Already,Morwenna Banks,2015
Return to Paradise,Bruce Robinson,1998
The Gunman,Pete Travis,2015
Pilgrim Song,Martha Stephens,2013
The Devil Bat,Edward D. Wood Jr.,1940
Tully,Matt Drake,2002
Post Mortem,Mateo Iribarren,2012
Nate & Margaret,Justin D.M. Palmer,2012
Aardvark,Brian Shoaf,2018
Johnny Handsome,Ken Friedman,1989
Sex Doll,Sylvie Verheyde,2017
Festival in Cannes,Victoria Foyt,2002
Among Giants,Simon Beaufoy,1999
Satan Hates You,James Felix McKenney,2011
Class Rank,Benjamin August,2018
One Hour Photo,Mark Romanek,2002
Time Lapse,B.P. Cooper,2015
Fighting,Robert Munic,2009
Adrift,Heitor Dhalia,2009
The Getaway,Walter Hill,1994
Creature from the Black Lagoon,Arthur Ross,1954
The Apartment,I.A.L. Diamond,1960
Butterfield 8,Charles Schnee,1960
The Great Muppet Caper,Tom Patchett,1981
Here Comes Mr. Jordan,Harry Segall,1941
Wrong Turn 2: Dead End,Al Septien,2007
WolfCop,Lowell Dean,2014
The Green Mile,Frank Darabont,1999
Midnight Son,Scott Leberecht,2009
Nell,William Nicholson,1994
Cold Mountain,Anthony Minghella,2003
Call Northside 777,Jerome Cady,1948
Another Happy Day,Sam Levinson,2011
The Gambler,James Toback,1974
Paparazzi,Forry Smith,2004
I'll Be Home for Christmas,Harris Goldberg,1998
Journey To The West,Ivy Kong,2014
Go,John August,1999
Winged Migration,Guy Jarry,2003
Arctic Tale,Mose Richards,2007
Seven Pounds,Grant Nieporte,2008
I Love Trouble,Charles Shyer,1994
Future World,Bruce Thierry Cheung,2018
Midnight's Children,Deepa Mehta,2013
"Fat, Sick and Nearly Dead",Joe Cross,2011
The Absent One (Fasandraeberne),Nikolaj Arcel,2016
Monkeybone,Sam Hamm,2001
War Room,Stephen Kendrick,2015
Hidalgo,John Fusco,2004
Evil Dead 2: Dead by Dawn,Scott Spiegel,1987
The Village Barbershop,Chris Ford,2008
Meet Bill,Melisa Wallack,2008
Closing Escrow,Armen Kaprelian,2007
White Water Summer,Ernest Kinoy,1987
Emperor,David Klass,2013
Mary Reilly,Christopher Hampton,1996
Splice,Antoinette Terry Bryant,2010
Solo,David Corley,1996
Welcome to the Rileys,Ken Hixon,2010
I Am Love,Barbara Alberti,2010
Detective Story,Robert Wyler,1951
Champs,Bert Marcus,2015
The Green Prince,Nadav Schirman,2014
The Killing,Stanley Kubrick,1956
A Bridge Too Far,William Goldman,1977
House of Flying Daggers,Bin Wang,2004
"The Karate Kid, Part III",Alan Ormsby,1989
Exists,Jamie Nash,2014
The Adventurers,Chi Kwong Cheung,2017
The Sand Pebbles,Robert Anderson,1966
King of Devil's Island,Mette M. Blstad,2011
Army of Crime (L'Arme du Crime),Robert Gudiguian,2010
The Rape of Europa,Richard Berge,2007
24 Days,Antoine Lacomblez,2015
The Evening Star,Robert Harling,1996
Tai Chi Zero,Hsiao-tse Cheng,2012
A Plumm Summer,Frank Antonelli,2008
The Raven,Ben Livingston,2012
The Gingerdead Man,Silvia St. Croix,2005
The Secret of the Sword,Robert Forward,1985
Renoir,Gilles Bourdos,2013
Barton Fink,Joel Coen,1991
In Search of Mozart,Phil Grabsky,2007
Dead Men Don't Wear Plaid,George Gipe,1982
Once Upon a Crime,Nancy Meyers,1991
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),Paul Verhoeven,1985
Graduation,D. Cory Turner,2007
Team America: World Police,Trey Parker,2004
Chat gim (The Seven Swords),Hark Tsui,2005
Afterschool,Antonio Campos,2008
Rush,Peter Morgan,2013
Faithful,Chazz Palminteri,1996
Mandy,Panos Cosmatos,2018
The Borderlands,Eliot Goldner,2014
Mansome,Morgan Spurlock,2012
Blockers,Brian Kehoe,2018
Cold Fish,Sion Sono,2011
Gentleman Jim,Vincent Lawrence,1942
The Great Mouse Detective,Bruce M. Morris,1986
Compliance,Craig Zobel,2012
Prince of Persia: The Sands of Time,Doug Miro,2010
Good Time,Ronald Bronstein,2017
Matador,Pedro Almodvar,1986
The I Inside,Timothy Scott Bogart,2005
Vinyan,David Greig,2008
From Nowhere,Kate Ballen,2017
Godzilla ,Wataru Mimura,2000
Written in Blood,David Keith Miller,2002
The Matrix Revolutions,Lana Wachowski,2003
Between Us,Rafael Palacio Illingworth,2017
Harry Potter and the Order of the Phoenix,Michael Goldenberg,2007
Meet Joe Black,Ron Osborn,1998
Kites,Anurag Basu,2010
St. Vincent,Ted Melfi,2014
The Three Musketeers,Andrew Davies,2011
Bless the Child,Ellen Green,2000
The Right Kind of Wrong,Megan Martin,2014
In the Valley of Elah,Paul Haggis,2007
Taken,Robert Mark Kamen,2009
Outland,Peter Hyams,1981
Barbarella,Tudor Gates,1968
Black,Bhavani Iyer,2005
Caddyshack,Brian Doyle-Murray,1980
Fong juk (Exiled),Milkyway Creative Team,2006
Problem Child,Scott Alexander,1990
Guidance,Pat Mills,2015
Cosmopolis,David Cronenberg,2012
"Enemies, a Love Story",Paul Mazursky,1989
Le Chteau de Ma Mre (My Mother's Castle),Jerome Tonnerre,1990
Keep On Keepin' On,Davis Coombe,2014
Blankman,Damon Wayans,1994
CSNY Dj Vu,Neil Young,2008
Holly,Guy Jacobson,2007
Drugstore Cowboy,Gus Van Sant,1989
The Iron Lady,Michael Hirst,2012
Photographing Fairies,Nick Willing,1998
Children of the Corn,Stephen King,1984
A Fantastic Woman (Una mujer fantstica),Gonzalo Maza,2018
Dynamite Warrior,Yuthapong Pirayuthapon,2007
Get Him to the Greek,Nicholas Stoller,2010
Drunks,Gary Lennon,1995
Jet Lag,Danile Thompson,2003
The Emperor and the Assassin (Jing Ke ci Qin Wang),Kaige Chen,1998
Life During Wartime,Todd Solondz,2010
I Hate Valentine's Day,Nia Vardalos,2009
Three Comrades,"Edward E. Paramore, Jr.",1938
The Best Of Me,Michael Hoffman,2014
I Like It Like That,Darnell Martin,1994
Ray Harryhausen: Special Effects Titan,Gilles Penso,2011
"Kiss Me, Stupid",Billy Wilder,1964
Black and White,Yuri Zeltser,1999
High Life,Lee Macdougall,2009
London,Hunter Richards,2006
Beware Of Mr. Baker,Jay Bulger,2012
Disorder (Maryland),Alice Winocour,2016
The Messengers,Stuart Beattie,2007
Hideous Kinky,Billy Mackinnon,1998
Nowhere Boy,Matt Greenhalgh,2010
Superman IV: The Quest for Peace,Lawrence Konner,1987
Trick 'r Treat,Michael Dougherty,2007
Light Sleeper,Paul Schrader,1992
Life as We Know It,Ian Deitchman,2010
The Flying Swords of Dragon Gate,Ho Kei Ping,2012
Crossfire Trail,Charles Robert Carner,2001
13 Rue Madeleine,John Monks Jr.,1947
Small Time Crooks,Woody Allen,2000
Photographing Fairies,Chris Harrald,1998
Scouts Guide to the Zombie Apocalypse,Carrie Evans,2015
Frankie and Johnny Are Married,Michael Pressman,2004
The Boys and Girl from County Clare,Nicholas Adams,2004
New Police Story (San ging chaat goo si),Alan Yuen,2006
Boys on the Side,Don Roos,1995
Fast Company,David Cronenberg,1979
American Satan,Ash Avildsen,2017
Love & Friendship,Whit Stillman,2016
Pioneer,Nikolaj Frobenius,2014
Agnes of God,John Pielmeier,1985
iBoy,Mark Denton,2017
The Entertainer,John Osborne,1960
Protocol,Buck Henry,1984
Straw Dogs,Rod Lurie,2011
Indiana Jones and the Last Crusade,Jeffrey Boam,1989
Michael Moore Hates America,Mike Wilson,2004
Freaky Friday,Leslie Dixon,2003
Gia,Jay McInerney,1998
The Hitman's Bodyguard,Tom O'Connor,2017
Skeletons,Nick Whitfield,2010
Bob & Carol & Ted & Alice,Larry Tucker,1969
Nurse Betty,John Richards,2000
Maze,Nicole Burdette,2001
Creep,Mark Duplass,2015
The Nut Job,Lorne Cameron,2014
Sunday in New York,Norman Krasna,1963
Shutter,Banjong Pisanthanakun,2004
The Vanishing (Spoorloos),Tim Krabbe,1988
The Harder They Fall,Philip Yordan,1956
Hello I Must Be Going,Sarah Koskoff,2012
It's All Gone Pete Tong,Michael Dowse,2004
The Wages of Fear,Jerome Geronimi,1953
Rapid Fire,Alan B. McElroy,1992
Car Wash,Joel Schumacher,1976
The Wedding Planner,Pamela Falk,2001
13 Ghosts,Robb White,1960
The Post,Josh Singer,2018
Bonded By Blood,Sacha Bennett,2010
Free State of Jones,Gary Ross,2016
The Lobster,Efthimis Filippou,2016
Jimi: All Is by My Side,John Ridley,2014
Lone Wolf McQuade,B.J. Nelson,1983
Calvary,John Michael McDonagh,2014
Lockout,Stephen Saint Leger,2012
Breaking and Entering,Anthony Minghella,2007
Blood Tea and Red String,Christiane Cegavske,2006
Burning Blue,DMW Greer,2014
Back to the Future Part III,Bob Gale,1990
Mrs. Miniver,Arthur Wimperis,1942
Ice Age: Continental Drift,Michael Berg,2012
The History Boys,Alan Bennett,2006
Better Start Running,Annie Burgstede,2018
Vanya on 42nd Street,David Mamet,1995
In the Family,Patrick Wang,2012
The Turning Point,Arthur Laurents,1977
Randy and the Mob,Ray McKinnon,2007
Nowhere to Hide,Myung-Sae Lee,2000
It Happened at the World's Fair,Seaman Jacobs,1963
Sunshine State,John Sayles,2002
Airborne,Stephen McEveety,1993
The Bishop's Wife,Leonardo Bercovici,1948
Arabian Nights,Pier Paolo Pasolini,1974
Au Hasard Balthazar,Robert Bresson,1966
Requiem,Bernd Lange,2006
He's Way More Famous Than You,Ryan Spahn,2013
Brian's Song,William Blinn,1970
Casablanca,Philip G. Epstein,1942
Eight Miles High!,Achim Bornhak,2008
Nights in Rodanthe,Ann Peacock,2008
The Outsider,Brian A. Miller,2014
Alex Cross,Marc Moss,2012
8 1/2,Tullio Pinelli,1963
Moments of Clarity,Christian Lloyd,2016
Trading Mom,Tia Brelis,1994
Goal! The Dream Begins (Goal!: The Impossible Dream),Ian La Frenais,2005
On_Line,Andrew Osborne,2003
Luis and The Aliens,Wolfgang Lauenstein,2018
Khartoum,Robert Ardrey,1966
Dopamine,Timothy Breitbach,2003
The Broken Circle Breakdown,Felix Van Groeningen,2013
Patch Adams,Steve Oedekerk,1998
The Longest Day,Cornelius Ryan,1962
Children of Heaven (Bacheha-Ye aseman),Majid Majidi,1999
New Year's Eve,Katherine Fugate,2011
Ernest Saves Christmas,Ben Kline,1988
The House of the Devil,Ti West,2009
Jack Ketchum's The Girl Next Door,Philip Nutman,2007
L'Enfer d'Henri-Georges Clouzot (Henri-George Clouzot's Inferno),Serge Bromberg,2010
Paranoia,Barry L. Levy,2013
Destiny (Der mde Tod),Fritz Lang,1924
Band of Angels,Ben Roberts,1957
Darkness,Jaume Balaguer,2004
Hell Up in Harlem,Larry Cohen,1973
The Family,Tonino Benacquista,2013
Disorganized Crime,Jim Kouf,1989
Safe Haven,Dana Stevens,2013
Victor Crowley,Adam Green,2017
Wet Hot American Summer,Michael Showalter,2001
Look Back in Anger,Nigel Kneale,1958
Declaration of War,Valrie Donzelli,2012
The Cardinal,Robert Dozier,1963
Who's Afraid of Virginia Woolf?,Ernest Lehman,1966
A River Runs Through It,Richard Friedenberg,1992
Dying To Know: Ram Dass & Timothy Leary,David Leach,2014
Chitty Chitty Bang Bang,Ken Hughes,1968
La Bte Humaine (Judas Was a Woman)(The Human Beast),Jean Renoir,1938
Nicotina,Martn Salinas,2004
The Source: The Story of the Beats and the Beat Generation,Chuck Workman,1999
Blackbeard's Ghost,Bill Walsh,1968
Lisa And The Devil (Lisa e il diavolo) (The Devil in the House of Exorcism),Mario Bava,1973
Escape From Alcatraz,Richard Tuggle,1979
Griff the Invisible,Leon Ford,2011
BMX Bandits,Patrick Edgeworth,1983
Hail the Conquering Hero,Preston Sturges,1944
Operator,Sharon Greene,2016
Jenny's Wedding,Mary Agnes Donoghue,2015
Free Money,Anthony Peck,1999
Door to Door,William H. Macy,2002
Endgame,Paula Milne,2009
See No Evil 2,Bobby Lee Darby,2014
Army of Crime (L'Arme du Crime),Gilles Taurand,2010
The Road to El Dorado,Ted Elliott,2000
Justin and the Knights of Valour,Manuel Sicilia,2013
Bang The Drum Slowly,Mark Harris,1973
Something Like Happiness,Bohdan Slma,2005
"Happy, Texas",Ed Stone,1999
Sinister 2,Scott Derrickson,2015
The Sons Of Tennessee Williams,Tim Wolff,2011
Strangers on a Train,Raymond Chandler,1951
From Dusk Till Dawn 3: The Hangman's Daughter,Robert Rodriguez,2000
Invaders from Mars,Don Jakoby,1986
Hot Fuzz,Simon Pegg,2007
Things Behind the Sun,Allison Anders,2001
Shakedown,James Glickenhaus,1988
The Boxtrolls,Adam Pava,2014
Letters To God,Sandra Thrift,2010
Menace II Society,Allen Hughes,1993
The Jungle Book 2,Rudyard Kipling,2003
The Magic Sword,Bernard C. Schoenfeld,1962
Hell & Back,Zeb Wells,2015
Sonatine,Takeshi Kitano,1993
Lila & Eve,Pat Gilfillan,2015
Parasite,Frank Levering,1982
Gun Shy,Mark Haskell Smith,2017
